MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Del:M:1	0.00E+00	2.01E-04	1.01E-04	3.55E-04	1.77E-03	2.55E-04	2.46E-03
3:Del:M:2	1.99E-04	1.58E-04	2.03E-04	4.38E-04	1.05E-03	8.43E-05	1.06E-03
4:Del:M:1	0.00E+00	1.81E-04	0.00E+00	1.53E-04	1.53E-03	1.96E-04	2.18E-03
4:Del:M:2	8.47E-05	2.46E-04	0.00E+00	4.09E-04	7.01E-04	7.59E-05	7.64E-04
4:Del:M:3	0.00E+00	2.20E-04	2.82E-04	2.20E-04	3.23E-04	1.14E-04	5.13E-04
5:Del:M:1	1.69E-03	4.10E-08	6.56E-08	1.02E-03	6.63E-02	2.99E-02	1.45E-06
5:Del:M:2	0.00E+00	7.71E-04	3.14E-04	5.90E-04	2.02E-02	4.13E-04	2.68E-02
5:Del:M:3	1.76E-08	1.25E-07	6.16E-04	4.31E-05	7.54E-03	5.94E-05	1.04E-02
5:Del:M:4	0.00E+00	4.21E-04	7.03E-04	1.60E-04	2.71E-03	1.83E-04	3.48E-03
5:Del:M:5	6.86E-05	2.51E-04	7.72E-09	2.22E-04	1.73E-03	3.69E-04	2.12E-03
