Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	1.83E+00	4.66E+00	7.24E+00	1.33E+00	6.16E+00	6.76E+00
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	4.42E+00	5.65E+00	4.76E+00	3.15E+00	2.31E+00	2.96E+00
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	5.38E+00	1.38E+01	1.27E+01	3.17E+00	6.02E+00	1.05E+01
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	4.13E+00	7.31E+00	8.34E+00	1.52E+00	4.50E+00	6.37E+00
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	3.77E+00	1.27E+01	8.72E+00	9.80E+00	4.36E+00	6.90E-01
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	3.28E+00	5.71E+00	5.23E+00	1.68E+00	3.46E+00	1.07E+00
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	3.89E+00	6.48E+00	6.76E+00	1.39E+00	2.73E+00	1.47E+00
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	3.53E+00	3.51E+00	4.78E+00	3.73E+00	1.37E+00	0.00E+00
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	2.87E+00	5.64E+00	5.60E+00	4.41E+00	3.25E+00	0.00E+00
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	1.26E+00	2.91E+00	4.35E+00	6.18E-01	1.29E+00	1.77E+00
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	5.43E+00	8.49E+00	7.96E+00	2.37E+00	2.65E+00	0.00E+00
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	4.60E+00	4.28E+00	5.50E+00	2.62E+00	3.15E+00	0.00E+00
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	2.95E+00	7.32E+00	6.71E+00	2.14E+00	2.11E+00	4.11E+00
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	2.00E+00	8.28E+00	5.90E+00	1.14E+00	3.85E+00	4.52E+00
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	3.81E+00	8.09E+00	4.31E+00	2.64E+00	2.57E+00	4.39E+00
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	5.62E+00	5.40E+00	5.88E+00	1.31E+00	2.40E+00	5.57E+00
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0.00E+00	0.00E+00	0.00E+00	6.99E-01	0.00E+00	6.99E-01
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	4.66E+00	6.37E+00	7.82E+00	1.52E+00	3.00E+00	3.56E+00
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	3.79E+00	6.41E+00	8.42E+00	4.89E+00	3.83E+00	6.31E+00
