Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	85	195	137	23	56	60
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	132	227	170	32	29	11
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	72	133	134	29	19	1
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	178	277	103	14	42	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	110	371	162	14	70	6
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	107	302	152	36	28	128
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	6	33	53	376	3	76
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	690	412	373	53	247	12
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	346	516	232	25	108	118
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	178	127	302	30	32	44
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	24	39	91	19	14	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	18	132	107	7	30	14
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	80	243	166	31	17	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	75	150	190	23	2	16
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	150	292	156	16	46	8
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	1	42	183	83	21	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	387	290	288	47	57	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	138	173	129	25	27	13
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	94	218	149	7	34	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	43	68	91	13	4	60
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	40	44	134	1	27	8
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	35	125	40	1	12	3
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	19	123	201	1846	26	27
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	95	310	203	12	14	7
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	43961	2192	0	0	971	1013
