MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Ins:C:2	1.44E-07	5.40E-08	2.12E-07	1.98E-08	4.00E-08	2.68E-07	7.84E-08	1.32E-07	1.10E-06	3.02E-04	5.06E-04	5.99E-04	1.12E-04	9.93E-05	8.20E-04	2.12E-04	1.28E-03	9.54E-04
1:Ins:C:3	1.13E-04	3.77E-05	1.59E-04	1.78E-07	2.55E-03	2.44E-04	7.67E-04	1.32E-04	0.00E+00	0.00E+00	0.00E+00	2.16E-04	8.62E-04	2.13E-04	2.61E-07	2.98E-03	2.97E-03	2.04E-03
1:Ins:C:4	5.13E-04	2.64E-04	5.56E-05	1.87E-08	0.00E+00	0.00E+00	2.42E-04	3.38E-07	1.14E-03	0.00E+00	1.33E-03	4.94E-03	7.14E-06	1.87E-03	1.66E-04	1.95E-03	1.35E-02	4.11E-03
1:Ins:C:5	2.13E-03	2.50E-03	6.41E-08	5.61E-08	1.04E-02	4.20E-46	3.15E-03	7.53E-04	1.20E-07	5.10E-04	8.52E-03	9.07E-03	0.00E+00	2.71E-02	1.06E-07	8.62E-04	5.70E-02	2.42E-03
1:Ins:T:0	6.94E-04	3.99E-04	4.26E-08	8.26E-06	0.00E+00	2.57E-03	5.84E-08	8.61E-03	1.21E-03	3.07E-04	6.95E-03	9.97E-03	4.94E-03	4.62E-03	1.52E-03	8.73E-03	7.36E-07	9.34E-03
1:Ins:T:1	0.00E+00	1.13E-07	3.30E-08	0.00E+00	0.00E+00	6.12E-03	1.96E-04	3.68E-03	1.19E-03	3.40E-04	2.07E-04	2.41E-03	4.64E-03	1.81E-04	4.48E-03	1.24E-03	6.38E-03	1.81E-03
1:Ins:T:2	1.02E-04	4.88E-04	0.00E+00	0.00E+00	1.56E-07	4.62E-04	1.47E-03	4.90E-03	3.44E-07	1.64E-03	3.26E-07	2.27E-03	4.57E-03	5.88E-03	3.90E-04	4.85E-03	5.08E-03	8.60E-03
1:Ins:T:3	1.53E-05	7.55E-04	0.00E+00	0.00E+00	3.05E-04	4.45E-04	3.88E-04	2.46E-03	2.93E-04	8.08E-07	5.42E-05	8.16E-08	1.57E-03	2.08E-03	2.65E-03	1.10E-06	2.84E-03	6.53E-04
1:Ins:T:4	8.02E-05	8.16E-03	1.94E-08	1.82E-08	4.38E-03	0.00E+00	2.04E-03	5.23E-04	2.00E-04	0.00E+00	0.00E+00	0.00E+00	1.80E-02	9.47E-03	6.08E-04	4.12E-03	1.47E-02	5.55E-03
1:Ins:T:5	1.40E-46	1.47E-02	4.76E-07	1.49E-07	1.88E-07	3.66E-03	2.21E-03	5.90E-03	5.54E-03	1.42E-03	3.50E-02	3.24E-08	2.16E-02	6.62E-02	1.42E-25	2.54E-02	3.14E-03	8.44E-02
2:Del:R:0	1.03E-08	9.33E-08	5.77E-09	4.16E-08	1.40E-46	5.71E-03	2.65E-03	6.06E-03	7.98E-07	1.05E-03	7.01E-03	2.72E-03	4.04E-03	7.75E-07	1.16E-02	5.65E-03	8.05E-03	1.10E-03
