Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V85	3.35E-01	0.00E+00	4.46E+00	2.69E-01	2.30E+00	2.10E+00	1.71E+00	2.64E+00	1.19E+00	1.63E+00	8.33E-01	6.05E-01	2.00E-01	0.00E+00	9.92E-01	2.34E+00	0.00E+00	4.42E-01	1.97E+00	3.73E+00
V86	3.92E+00	4.17E+00	7.50E+00	6.71E-01	5.93E-01	0.00E+00	2.67E-01	6.71E-01	0.00E+00	0.00E+00	3.48E-01	6.96E-01	4.23E-01	6.00E-01	6.16E-01	5.97E-01	4.51E+00	9.04E-01	6.33E-01	8.25E+00
V87	1.61E+00	3.25E+00	7.12E-01	4.86E+00	0.00E+00	0.00E+00	2.77E-01	0.00E+00	6.74E+00	0.00E+00	0.00E+00	5.09E+00	7.06E+00	2.60E+00	7.17E+00	0.00E+00	4.16E+00	4.33E-01	4.08E+00	6.86E+00
V88	2.12E+00	3.45E+00	6.83E+00	3.94E+00	4.22E-01	5.29E+00	1.29E+01	6.57E-01	1.65E+00	7.27E-01	1.31E+01	4.82E+00	2.65E+00	3.74E+00	2.81E+00	1.70E+01	3.30E+00	1.50E+00	1.38E+00	5.76E+00
V89	1.15E+00	3.09E+00	5.78E-01	1.33E+01	1.18E+00	3.98E+00	1.26E+00	9.17E-01	7.07E+00	1.18E+00	3.69E+00	1.14E+01	5.72E+00	6.90E+00	7.22E+00	6.03E+00	2.18E+00	2.38E+00	1.58E+00	1.97E+00
V90	3.42E-01	3.27E+00	4.58E-01	4.45E+00	2.22E+00	6.70E-01	5.62E-01	1.70E+00	3.69E+00	2.17E+00	3.89E-01	5.73E+00	4.64E+00	3.30E+00	6.54E-01	4.00E-01	3.52E+00	9.89E-01	1.94E+00	1.42E+00
V91	2.31E+00	2.99E+00	2.09E+00	2.32E+00	8.88E-01	0.00E+00	2.60E-01	1.06E+00	1.42E+00	0.00E+00	5.86E-01	2.75E+00	3.43E+00	4.26E+00	2.57E+00	1.33E+00	3.32E+00	4.73E-01	1.11E+00	2.64E+00
V92	7.90E-01	7.72E-01	2.13E+00	1.06E+00	1.23E+00	3.71E+00	4.04E+00	1.10E+00	9.40E-01	5.22E-01	4.02E+00	2.31E+00	1.68E+00	2.52E+00	4.48E-01	7.12E+00	2.00E+00	4.73E-01	1.42E+00	2.95E+00
V93	2.91E+00	0.00E+00	9.54E+00	0.00E+00	4.48E-01	2.69E-01	1.15E+00	1.07E+00	3.06E-01	7.22E-01	0.00E+00	0.00E+00	8.94E-01	0.00E+00	2.16E+00	1.10E+00	0.00E+00	2.79E+00	0.00E+00	1.13E+01
V94	1.44E+00	1.39E+00	5.12E-01	3.35E-01	4.96E-01	3.40E-01	5.86E-01	2.60E-01	0.00E+00	9.33E-01	6.83E-01	0.00E+00	2.00E-01	3.35E-01	0.00E+00	8.95E-01	9.43E-01	1.27E+00	5.96E-01	2.13E-01
V95	1.16E+00	1.88E+00	4.91E+00	3.06E-01	1.98E+00	0.00E+00	0.00E+00	2.36E+00	8.03E-01	2.67E+00	0.00E+00	4.23E-01	7.77E-01	1.78E+00	8.23E-01	7.00E-01	2.62E+00	1.03E+00	5.00E-01	5.41E+00
V96	1.16E+00	6.21E+00	2.62E+00	3.24E+00	2.18E+00	7.90E-01	0.00E+00	2.48E+00	2.15E+00	1.31E+00	5.00E-01	5.12E+00	2.03E+00	5.20E+00	4.21E+00	0.00E+00	6.39E+00	9.00E-01	8.46E-01	1.20E+00
V97	1.63E-01	3.60E+00	3.67E-01	5.16E-01	1.26E+00	8.88E-01	6.18E-01	0.00E+00	0.00E+00	0.00E+00	1.54E+00	1.55E+00	3.42E-01	1.27E+00	4.22E-01	8.00E-01	3.24E+00	5.39E-01	1.33E+00	6.00E-01
V98	1.13E+00	8.72E-01	9.33E-01	1.46E+00	0.00E+00	5.32E+00	5.80E+00	3.71E-01	1.03E+00	0.00E+00	3.51E+00	1.19E+00	1.39E+00	1.92E+00	5.58E-01	7.30E+00	1.15E+00	8.83E-01	9.40E-01	1.84E+00
V99	2.49E+00	1.17E+00	4.78E+00	0.00E+00	0.00E+00	2.67E-01	2.67E-01	0.00E+00	3.00E-01	0.00E+00	0.00E+00	3.35E-01	0.00E+00	7.37E-01	1.46E+00	6.96E-01	1.51E+00	6.11E-01	0.00E+00	4.86E+00
V100	1.54E+00	2.05E+00	2.24E-01	4.45E+00	0.00E+00	2.37E+00	1.75E+00	5.22E-01	3.43E+00	4.58E-01	9.52E-01	5.23E+00	1.48E+00	0.00E+00	1.47E+00	4.68E+00	3.99E+00	1.26E+00	2.00E-01	2.46E+00
