MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
3:Ins:R:0	9.41E-05	5.91E-08	1.05E-04	9.80E-05	3.66E-08	3.74E-08	2.37E-08	2.04E-08	3.45E-04	5.41E-08	1.39E-08	4.49E-04	5.55E-05
3:Ins:R:1	0.00E+00	1.93E-04	0.00E+00	5.02E-04	4.60E-04	2.41E-04	0.00E+00	0.00E+00	1.42E-03	6.76E-04	8.81E-04	5.96E-04	1.93E-03
3:Ins:R:2	1.40E-46	1.31E-02	1.94E-07	5.25E-07	1.89E-03	4.86E-07	3.23E-07	1.74E-02	2.73E-07	1.67E-07	1.17E-02	2.42E-02	3.53E-02
3:Ins:R:3	2.05E-08	5.67E-08	2.00E-08	7.43E-05	1.26E-07	1.17E-08	4.20E-08	8.26E-08	5.43E-08	1.06E-07	7.60E-08	8.42E-08	2.21E-07
3:Ins:R:4	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
3:Ins:R:5	2.55E-04	0.00E+00	0.00E+00	3.40E-04	2.04E-06	1.28E-05	1.74E-08	2.85E-04	2.38E-04	1.84E-04	9.79E-04	1.18E-03	5.54E-04
4:Ins:R:0	1.19E-07	4.25E-08	1.97E-08	1.55E-04	5.32E-08	1.49E-04	4.32E-08	3.94E-08	2.18E-07	7.42E-04	3.47E-07	3.80E-07	9.18E-04
4:Ins:R:1	1.69E-04	2.38E-09	0.00E+00	2.02E-04	1.09E-04	2.80E-04	0.00E+00	5.31E-05	7.38E-05	6.34E-04	8.55E-05	8.73E-04	1.27E-03
4:Ins:R:2	3.98E-08	6.38E-08	3.74E-07	5.29E-08	9.57E-08	1.76E-08	3.89E-08	3.51E-05	3.24E-04	9.63E-08	7.46E-08	9.48E-08	2.39E-07
4:Ins:R:3	0.00E+00	3.07E-06	3.03E-04	4.73E-05	1.09E-04	1.18E-03	3.80E-04	6.01E-04	7.59E-04	5.86E-04	1.08E-07	6.71E-04	1.60E-03
4:Ins:R:4	2.74E-07	4.11E-08	1.33E-06	8.81E-05	2.71E-07	1.72E-04	8.78E-05	2.07E-04	2.92E-08	6.02E-08	7.25E-08	1.23E-07	1.23E-07
4:Ins:R:5	1.49E-04	0.00E+00	1.95E-04	4.17E-04	3.91E-04	0.00E+00	1.12E-04	6.21E-05	2.10E-03	1.45E-07	0.00E+00	2.47E-03	4.61E-03
5:Ins:R:0	1.68E-05	4.15E-08	7.48E-09	7.26E-05	4.48E-04	7.70E-05	3.48E-04	1.03E-05	9.81E-05	6.93E-08	1.44E-07	6.51E-04	1.31E-05
5:Ins:R:1	1.24E-04	1.08E-04	6.16E-05	1.91E-04	4.80E-04	4.34E-04	5.53E-04	6.92E-08	5.99E-04	2.61E-03	2.80E-03	5.86E-04	2.65E-04
5:Ins:R:2	8.57E-05	2.83E-05	8.02E-08	1.96E-08	6.76E-08	1.65E-07	1.47E-04	2.25E-08	7.25E-04	3.43E-04	6.39E-08	8.61E-04	8.71E-05
5:Ins:R:3	1.22E-04	7.76E-07	1.43E-08	3.99E-08	9.75E-05	1.40E-46	2.58E-04	6.86E-08	1.92E-04	8.39E-08	7.36E-08	2.82E-07	4.36E-06
5:Ins:R:4	3.86E-05	7.27E-05	3.15E-08	6.82E-08	4.31E-05	2.05E-07	1.12E-07	5.21E-08	1.24E-04	7.93E-08	7.67E-08	4.50E-04	3.00E-04
5:Ins:R:5	2.77E-04	4.55E-08	3.74E-07	5.08E-08	5.58E-08	1.08E-04	6.81E-08	4.96E-07	5.81E-05	1.44E-04	9.65E-08	1.39E-07	1.84E-03
2:Del:M:1	2.03E-04	1.47E-04	1.86E-04	5.44E-05	2.28E-03	1.99E-03	1.78E-03	8.55E-04	1.76E-03	1.85E-03	1.58E-03	3.54E-03	1.37E-03
3:Del:M:1	2.85E-08	1.09E-04	1.20E-05	2.33E-08	9.10E-04	1.11E-03	1.03E-03	1.13E-07	6.70E-08	4.90E-03	2.79E-03	4.30E-08	1.96E-03
3:Del:M:2	7.91E-04	4.99E-04	3.71E-03	7.01E-04	0.00E+00	1.44E-03	3.94E-05	6.87E-03	1.19E-02	7.10E-04	1.73E-03	2.96E-03	4.66E-03
4:Del:M:1	0.00E+00	0.00E+00	9.92E-05	2.36E-04	5.64E-04	7.51E-04	9.00E-04	5.27E-04	0.00E+00	2.36E-03	1.28E-03	0.00E+00	1.37E-03
4:Del:M:2	1.40E-04	9.24E-09	1.98E-07	2.33E-07	1.08E-03	1.25E-03	9.40E-04	4.06E-04	1.72E-04	1.83E-04	1.15E-04	7.00E-04	2.74E-03
4:Del:M:3	4.56E-04	3.54E-03	0.00E+00	4.65E-04	2.90E-03	3.61E-04	1.75E-02	1.30E-02	1.75E-04	9.28E-04	5.02E-04	2.19E-02	1.23E-02
5:Del:M:1	1.95E-07	3.04E-07	1.51E-07	1.43E-07	1.29E-03	0.00E+00	7.39E-04	3.36E-07	3.23E-03	5.92E-02	3.82E-02	1.17E-02	2.50E-03
5:Del:M:2	3.42E-08	2.80E-07	2.02E-08	1.24E-07	5.81E-08	7.18E-04	2.91E-07	5.91E-08	1.40E-03	2.48E-02	3.07E-02	1.27E-03	1.63E-06
5:Del:M:3	0.00E+00	3.83E-08	4.74E-08	4.01E-08	1.59E-03	9.94E-04	5.43E-04	1.40E-04	1.08E-03	1.08E-02	6.74E-03	1.87E-03	2.97E-04
5:Del:M:4	8.66E-08	1.85E-04	0.00E+00	5.01E-04	5.81E-04	4.12E-08	1.40E-46	5.36E-04	2.24E-04	3.40E-03	4.02E-03	1.00E-03	1.02E-03
5:Del:M:5	8.32E-05	2.29E-09	1.08E-04	4.34E-04	2.88E-07	2.00E-03	2.48E-04	0.00E+00	9.86E-04	3.22E-03	1.28E-03	2.83E-03	2.00E-03
