Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	40	358	246	65	20	13
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	39	110	113	38	26	51
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	10	20	49	5	2	8
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	223	360	199	37	21	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	135	416	370	85	83	33
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	116	189	141	28	37	16
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	52	186	137	11	38	2
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	40	228	135	22	19	22
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	92	275	197	37	36	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	81	217	108	37	52	35
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	66	172	127	11	19	6
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	104	190	135	12	32	6
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	21	131	226	22	6	14
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	402	241	150	29	46	54
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	47	79	102	10	11	9
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	59	246	145	25	19	9
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	212	291	140	22	45	3
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	45	238	95	25	64	39
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	89	291	157	30	26	15
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	28	34	219	95	3	0
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	381	714	197	31	51	92
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	108	172	152	11	40	12
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	80	172	125	12	39	5
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	277	108	198	13	29	9
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	218	387	154	16	65	10
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	301	410	420	66	119	118
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	37	102	150	14	15	4
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	124	252	236	60	71	1
