Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V34	1.94E+00	2.28E+00	2.49E+00	1.62E+00	0.00E+00	1.05E+00	2.69E+00	3.49E+00	1.66E+00	3.80E+00	3.84E+00
V35	3.41E+00	2.79E+00	0.00E+00	9.46E-01	1.04E+01	2.16E+00	1.12E+01	4.08E+00	1.12E+00	1.55E+00	1.01E+00
V36	9.44E+00	1.28E+00	2.31E+00	6.97E+00	1.29E+00	0.00E+00	4.56E+00	1.09E+01	0.00E+00	4.53E+00	6.76E+00
V37	1.74E+01	7.65E+00	1.18E+00	8.46E-01	8.46E-01	3.76E+00	4.30E+00	1.85E+01	4.39E+00	3.68E+00	2.08E+00
V38	1.17E+01	1.85E+00	3.35E-01	1.77E+00	4.00E-01	2.21E+00	2.43E+00	1.30E+01	1.87E+00	6.05E-01	1.73E+00
V39	4.04E+00	5.16E-01	6.51E-01	1.02E+01	3.03E+00	1.54E+00	7.90E+00	8.87E+00	1.89E+00	1.01E+01	1.00E+01
V40	1.48E+00	1.01E+00	1.67E+00	3.50E+00	1.21E+01	2.06E+00	1.11E+01	2.43E+00	1.72E+00	2.50E+00	2.94E+00
V41	6.53E+00	7.00E-01	2.84E+00	2.06E+01	1.27E+00	1.37E+00	1.69E+01	1.17E+01	3.51E+00	1.24E+01	1.99E+01
V42	4.82E-01	1.27E+00	4.04E+00	2.31E+00	2.65E+00	7.95E-01	2.45E+00	3.78E+00	6.15E-01	1.29E+00	3.43E+00
V43	7.68E+00	4.23E+00	2.68E+00	9.89E+00	2.06E+00	5.46E+00	6.49E+00	7.61E+00	4.98E+00	7.63E+00	1.26E+01
V44	1.89E+01	3.03E+00	3.71E-01	1.36E+00	1.33E-01	4.06E+00	2.19E+00	1.95E+01	3.31E+00	1.95E+00	9.43E-01
V45	2.21E-01	1.97E+00	2.14E+01	6.16E-01	4.40E+00	0.00E+00	2.99E+00	2.15E+01	3.00E-01	1.02E+00	1.12E+00
V46	1.79E+00	5.29E+00	3.30E+00	6.46E-01	7.48E+00	2.92E+00	7.11E+00	2.93E+00	1.74E+00	4.01E+00	1.47E+00
V47	4.62E+00	5.12E+00	2.60E+00	4.91E+00	2.31E+00	8.12E+00	9.46E+00	6.38E+00	1.07E+01	5.86E+00	5.20E+00
V48	8.94E-01	1.19E+00	3.40E+00	7.98E+00	2.91E+00	1.61E+00	5.34E+00	5.62E+00	1.30E+00	3.77E+00	8.17E+00
V49	3.20E+00	4.58E+00	2.43E+00	2.49E+00	1.43E+00	3.56E+00	1.72E+00	3.18E+00	2.07E+00	2.75E+00	2.27E+00
