Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
6,NA,NA,NA,1,1,0.0017504861377185131,0.002740169156486113,0.002245327647102313,2.2474896875712442,19.394187863630197,10.82083877560072,0.9924158862170307,1.3670566507878152,2.2806896774242804,1.3670696753289722,2.2809027956182946,0.001,20,1,0.5,0
7,NA,NA,NA,1,0.8571428571428571,0.0055078076023200705,0.0028232353072784144,0.004165521454799243,4.512672016471521,19.694387763979186,12.103529890225353,NA,1.3723519423385095,2.195237265418561,1.381328604906872,2.2017160262197844,0.001,20,1,0.5,0
6,NA,NA,NA,1,1,0.001718673111173139,0.003353222134024794,0.0025359476225989665,0.20659826561138303,20.837047189881112,10.521822727746247,0.9870897562295325,1.3055878765546522,2.2415855238350826,1.3054327744310676,2.2419129717013564,0.001,20,1,0.5,0
6,NA,NA,NA,1,1,0.0020041752630364966,0.0027708143558799786,0.002387494809458238,2.085640979883228,17.39699576308049,9.741318371481858,0.9892180731791862,1.175085448500557,2.146065966086475,1.1749038787802732,2.146433949638875,0.001,20,2,0.5,0
6,NA,NA,NA,1,1,0.002321084915798754,0.002827606782093081,0.0025743458489459175,4.022183556546699,23.54017804791196,13.78118080222933,0.9908324749297516,1.3762366992527773,2.3119148357425017,1.3762157767494518,2.3121957016673487,0.001,20,2,0.5,0
6,NA,NA,NA,1,1,0.0021284982230779124,0.0027559367556613083,0.0024422174893696104,3.727512841360058,22.97412415216173,13.350818496760894,0.9871436108808437,1.4743839667777903,2.3447893801674944,1.474266230730098,2.3451240574110694,0.001,20,2,0.5,0
6,NA,NA,NA,1,1,0.0018421922632381447,0.002716758161663078,0.0022794752124506113,1.181775035648847,21.416936511489187,11.299355773569017,0.9890961854220676,1.4356891752016847,2.2832035520680303,1.4355467904484716,2.2832794855561733,0.001,20,2,0.5,0
6,NA,NA,NA,1,1,0.002163342088214221,0.0030669855332990286,0.002615163810756625,1.979417964645008,21.86544628779776,11.922432126221384,0.9859737559233129,1.416224925259553,2.3124978597125105,1.4158729077178112,2.312676592420556,0.001,20,2,0.5,0
15,NA,NA,NA,1,0.8666666666666667,0.02172643959078023,0.006396539731059962,0.014061489660920096,27.230252652786014,72.18751536354401,49.708884008165015,NA,1.26668806991143,2.0006417668796495,1.2710598685286567,2.0153035742239265,0.001,20,0.1,1,0
19,NA,NA,NA,1,0.631578947368421,0.022866839936005,0.007004500285137955,0.014935670110571477,25.940708170465566,122.13833076735725,74.03951946891141,NA,1.657034248925497,2.1539098513911132,1.665020001786576,2.179595711887943,0.001,20,0.1,1,0
