Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V79	2.68E+00	1.85E+00	1.00E-01	1.36E+01	1.32E+01	1.05E+00	1.37E+01	9.27E+00	1.26E+01
V80	6.83E-01	1.74E+00	9.07E-01	1.02E+00	1.73E+00	3.71E-01	8.88E-01	1.18E+00	1.02E+00
V81	3.55E+00	6.23E-01	2.33E+00	1.81E+00	7.16E-01	7.03E+00	1.38E+00	2.82E+00	6.63E+00
V82	6.00E-01	7.00E-01	4.16E-01	3.44E+00	1.40E+00	1.73E+00	2.45E+00	1.76E+00	1.42E+00
V83	1.77E+00	7.27E-01	5.09E+00	8.00E-01	6.46E-01	2.31E+00	2.94E+00	4.14E+00	1.60E+00
V84	5.94E+00	6.36E-01	8.18E+00	2.25E+00	6.00E-01	4.38E+00	6.07E+00	7.18E+00	9.22E+00
V85	4.07E+00	2.75E+00	1.47E+00	3.80E+00	3.79E+00	1.58E+00	4.35E+00	3.25E+00	7.13E+00
V86	4.08E+00	5.80E+00	4.51E+00	1.79E+00	3.83E+00	8.44E+00	1.63E+00	1.10E+01	7.32E+00
V87	3.84E+00	4.21E+00	1.04E+00	1.19E+01	1.65E+00	0.00E+00	1.20E+01	2.06E+00	2.96E+00
V88	9.40E-01	1.81E+00	7.99E+00	5.82E+00	1.73E+00	5.29E+00	4.84E+00	6.12E+00	5.15E+00
V89	1.49E+00	2.13E-01	3.01E+00	4.73E-01	3.20E+00	2.26E+00	1.90E+00	3.54E+00	2.88E+00
V90	3.33E+00	9.80E-01	1.03E+00	1.10E+01	3.98E+00	6.27E+00	9.39E+00	4.65E+00	7.73E+00
V91	9.64E-01	6.67E-01	0.00E+00	6.50E+00	1.00E-01	2.02E+00	6.96E+00	3.40E-01	2.67E+00
V92	1.00E+01	0.00E+00	1.03E+00	3.94E+00	3.12E+00	4.89E+00	3.94E+00	2.04E+00	1.38E+01
V93	6.18E-01	4.00E-01	1.39E+00	5.38E+00	5.97E+00	4.24E+00	6.12E+00	6.21E+00	5.62E+00
V94	6.52E+00	1.18E+00	6.84E-01	3.77E+00	1.48E+00	4.16E-01	4.05E+00	2.25E+00	7.29E+00
V95	3.37E+00	4.32E+00	1.16E+01	6.96E-01	8.70E-01	4.01E+00	5.73E+00	1.04E+01	3.77E+00
V96	6.19E+00	2.80E+00	8.03E-01	1.68E+00	3.33E+00	6.19E+00	1.56E+00	6.02E+00	1.04E+01
V97	3.95E+00	4.28E-01	2.65E+00	5.34E+00	1.20E+00	3.38E+00	5.95E+00	3.54E+00	5.53E+00
V98	9.21E-01	2.78E+00	1.68E+00	1.25E+00	7.08E+00	7.40E+00	1.74E+00	8.36E+00	6.46E+00
V99	0.00E+00	2.95E+00	0.00E+00	1.23E+00	1.35E+00	5.26E+00	1.18E+00	6.22E+00	3.51E+00
V100	8.67E-01	2.72E+00	3.18E+00	1.93E+00	1.33E+00	1.14E+01	3.39E+00	6.33E+00	1.22E+01
