MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
5:Ins:R:0	1.98E-05	6.93E-04	3.02E-03	7.18E-04	1.03E-04	5.97E-03	3.00E-03	2.91E-03
5:Ins:R:1	2.62E-10	2.71E-06	5.55E-06	1.90E-05	1.26E-09	6.53E-05	8.22E-05	8.38E-05
5:Ins:R:2	6.56E-10	2.76E-06	2.83E-08	5.35E-10	4.53E-09	3.08E-06	4.34E-08	3.83E-08
5:Ins:R:3	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
5:Ins:R:4	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
5:Ins:R:5	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
2:Del:M:1	1.65E-04	1.85E-04	3.25E-03	1.39E-04	4.83E-05	2.16E-03	1.49E-03	1.68E-03
3:Del:M:1	4.82E-06	2.89E-05	3.48E-04	2.75E-04	3.85E-05	6.41E-04	8.86E-04	6.26E-04
3:Del:M:2	1.22E-04	9.01E-05	2.71E-03	2.72E-04	5.79E-05	1.79E-03	1.62E-03	1.22E-03
4:Del:M:1	2.16E-05	1.51E-05	6.93E-04	2.68E-04	1.44E-09	4.35E-04	8.06E-04	2.49E-04
4:Del:M:2	2.86E-05	8.28E-05	1.48E-03	1.96E-04	1.26E-09	1.02E-03	6.71E-04	9.05E-04
4:Del:M:3	8.02E-05	8.75E-05	2.16E-03	2.22E-04	8.08E-05	1.53E-03	1.53E-03	1.53E-03
5:Del:M:1	3.65E-05	3.43E-04	6.75E-04	2.00E-03	4.64E-05	2.38E-03	8.26E-03	1.48E-03
5:Del:M:2	3.95E-05	3.48E-04	4.05E-04	2.28E-03	7.61E-05	1.29E-03	3.36E-03	1.40E-03
5:Del:M:3	3.17E-05	1.34E-22	3.34E-04	1.98E-03	7.73E-05	1.04E-03	2.15E-03	9.70E-04
5:Del:M:4	1.26E-05	1.15E-04	2.73E-04	9.53E-04	0.00E+00	4.32E-04	6.01E-04	4.57E-04
5:Del:M:5	6.29E-05	2.30E-04	6.90E-04	1.12E-03	5.40E-05	5.41E-04	6.75E-04	1.05E-03
