Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V18	1.29E+00	3.98E+00	2.09E+00	8.73E+00	1.18E+00	8.24E+00	0.00E+00	1.30E+00	4.83E+00
V19	8.98E+00	5.02E+00	1.35E+00	1.51E+00	1.94E+00	2.83E+00	2.00E-01	9.69E+00	4.98E+00
V20	6.11E-01	1.96E+00	9.55E-01	1.21E+01	1.50E+00	1.16E+01	4.27E+00	5.96E-01	4.81E+00
V21	3.33E+00	3.03E+00	1.01E+00	1.00E-01	1.48E+00	0.00E+00	2.76E+00	5.28E+00	2.52E+00
V22	4.77E-01	1.63E+00	1.02E+00	2.38E+00	2.83E+00	2.87E+00	8.23E-01	3.06E-01	1.92E+00
V23	1.78E+01	1.86E+00	1.22E+00	5.60E+00	8.62E-01	5.58E+00	1.86E+01	2.06E+01	1.68E+01
V24	5.00E+00	1.31E+00	1.58E+00	9.17E-01	0.00E+00	5.47E-01	6.21E+00	9.11E+00	3.72E+00
V25	2.48E+01	2.09E+00	2.18E+00	4.57E+00	2.60E+00	6.51E+00	7.53E+00	2.71E+01	1.08E+01
V26	6.32E-01	1.54E+00	3.68E+00	8.51E+00	2.13E+00	6.89E+00	3.44E+00	3.22E+00	3.72E+00
V27	8.60E-01	4.85E+00	2.35E+00	1.53E+01	0.00E+00	1.50E+01	1.46E+01	2.94E+00	1.68E+01
V28	7.27E+00	6.99E-01	1.47E+00	1.00E-01	2.14E+00	5.59E-01	5.63E-01	6.95E+00	1.36E+00
V29	1.52E+00	4.47E+00	1.57E+00	4.29E+00	3.59E-01	4.17E+00	1.95E+01	2.34E+00	1.90E+01
V30	1.28E+01	5.37E-01	3.07E-01	2.24E+01	1.36E+00	2.31E+01	1.45E+00	1.21E+01	4.87E+00
V31	2.38E+00	2.12E+00	2.03E+00	2.88E+00	1.71E+00	3.58E+00	5.78E-01	1.21E+00	1.69E+00
V32	1.18E+01	1.13E+00	6.11E-01	2.61E+00	1.41E+00	2.08E+00	1.46E+01	1.34E+01	1.54E+01
V33	8.75E+00	2.19E+00	3.40E+00	8.45E+00	2.64E+00	5.18E+00	7.60E+00	1.01E+01	1.10E+01
V34	1.05E+01	8.98E-01	1.25E+00	1.41E+00	8.57E-01	1.30E+00	1.34E+00	1.13E+01	9.83E-01
V35	6.67E+00	1.85E+00	3.67E+00	1.73E+01	7.22E-01	1.35E+01	4.74E+00	7.74E+00	4.64E+00
V36	2.69E+00	8.00E-01	3.96E-01	0.00E+00	1.34E+00	0.00E+00	2.03E+00	2.78E+00	1.45E+00
V37	1.72E+00	2.60E-01	1.48E+00	6.66E+00	4.52E-01	6.78E+00	6.18E-01	1.40E+00	4.26E+00
