MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
2:Del:M:1	0.00E+00	3.29E-05	1.26E-04	0.00E+00	7.28E-04	8.11E-04	1.03E-07	1.47E-03	2.63E-03
3:Del:M:1	4.88E-05	0.00E+00	1.23E-04	2.77E-04	3.80E-04	1.53E-03	1.35E-04	8.90E-04	4.10E-03
3:Del:M:2	8.51E-05	4.01E-04	1.18E-08	3.97E-04	0.00E+00	1.50E-03	4.01E-04	3.48E-03	1.38E-03
4:Del:M:1	2.13E-04	0.00E+00	6.59E-08	4.19E-04	3.37E-05	1.16E-03	1.04E-03	0.00E+00	2.33E-03
4:Del:M:2	1.38E-04	1.24E-04	9.60E-05	2.20E-04	2.39E-04	6.15E-04	7.92E-04	2.12E-03	8.60E-04
4:Del:M:3	2.34E-04	0.00E+00	1.36E-04	7.64E-06	5.11E-04	5.59E-04	3.91E-04	2.54E-04	7.28E-04
5:Del:M:1	2.70E-08	1.73E-08	6.28E-04	8.54E-03	2.46E-04	2.11E-02	2.36E-04	3.47E-02	2.30E-02
5:Del:M:2	3.31E-04	2.67E-04	7.82E-04	1.03E-03	4.71E-04	1.16E-02	3.39E-04	1.35E-02	2.48E-02
5:Del:M:3	6.41E-04	8.84E-04	3.77E-08	2.77E-02	6.48E-04	9.13E-03	4.72E-02	7.14E-03	6.36E-03
5:Del:M:4	1.61E-04	1.56E-07	1.32E-08	1.54E-04	1.64E-04	2.13E-03	3.72E-04	1.24E-03	3.62E-03
5:Del:M:5	6.38E-08	3.23E-04	2.91E-08	0.00E+00	8.27E-08	1.93E-03	2.31E-08	1.89E-03	3.62E-03
