Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V86	1.50E+00	4.22E-01	2.12E+00	4.69E+00	1.96E+00	2.28E+00	2.11E+00	2.75E+00	1.17E+00	2.57E+00	1.34E+00	3.40E+00	1.66E+00	1.84E+00	1.80E+00
V87	4.20E+01	0.00E+00	3.71E-01	0.00E+00	2.85E+00	1.40E+00	0.00E+00	4.28E-01	8.60E-01	1.00E-01	1.95E+00	6.11E-01	1.34E+00	4.00E+00	4.35E+01
V88	1.86E+00	1.97E+00	1.84E+00	3.79E+00	2.40E+00	4.68E+00	3.18E+00	2.25E+00	4.22E+00	2.65E+00	5.81E-01	4.13E+00	1.56E+00	3.29E+00	7.48E-01
V89	8.39E+00	3.42E+00	1.29E+00	1.41E+00	1.13E+00	8.94E+00	5.78E+00	1.35E+00	2.11E+00	1.33E+00	9.71E-01	5.18E+00	1.90E+00	5.17E+00	8.23E+00
V90	1.38E+01	7.04E+00	3.48E-01	1.01E+00	0.00E+00	4.58E+00	3.82E+00	6.96E-01	3.00E-01	6.00E-01	0.00E+00	1.31E+01	2.09E+00	4.70E+00	1.27E+01
V91	1.62E+00	7.70E+00	2.11E+00	4.14E+00	0.00E+00	2.67E+00	2.41E+00	6.82E+00	2.20E+00	7.11E+00	1.00E-01	3.38E+00	1.75E+00	9.87E+00	2.80E+00
V92	1.00E-01	1.33E-01	3.97E+00	2.68E+00	1.35E+00	3.20E+00	2.93E+00	3.20E+00	4.76E+00	1.71E+00	1.52E+00	4.32E+00	3.89E-01	1.46E+00	3.22E+00
V93	0.00E+00	6.53E-01	1.57E+00	1.87E+00	1.54E+00	3.10E+00	1.84E+00	1.05E+00	1.67E+00	2.90E+00	1.56E+00	2.77E+00	2.04E+00	9.60E-01	8.00E-01
V94	1.08E+00	8.20E-01	1.19E+00	1.62E+00	3.89E-01	2.44E+00	3.23E+00	3.61E+00	1.66E+00	7.73E+00	6.23E-01	1.42E+00	9.44E+00	1.67E+00	3.02E+00
V95	2.64E+00	4.40E+00	5.42E-01	1.53E-01	4.33E-01	2.37E+00	2.82E+00	4.07E-01	2.67E-01	1.32E+00	1.14E+00	5.10E+00	1.84E+00	3.69E+00	2.43E+00
V96	3.06E-01	7.04E+00	3.23E+00	4.28E+00	1.53E-01	3.26E+00	2.00E+00	5.26E-01	4.67E+00	8.23E-01	3.89E-01	3.71E+00	1.48E+00	9.96E+00	8.00E-01
V97	7.10E+00	3.51E+00	0.00E+00	1.36E+00	1.15E+00	4.46E+00	6.71E+00	1.98E+00	1.74E+00	4.04E+00	4.16E-01	7.64E+00	8.94E-01	5.84E+00	1.00E+01
V98	2.64E+00	1.65E+00	3.70E+00	4.74E+00	5.44E+00	1.50E+00	1.85E+00	1.93E+00	4.70E+00	3.34E+00	2.57E+00	7.40E+00	3.33E+00	5.55E+00	1.63E+00
V99	2.06E+00	7.06E-01	2.65E+00	3.40E+00	2.81E+00	3.88E+00	4.23E+00	1.25E+00	4.43E+00	1.15E+00	2.90E+00	3.92E+00	6.00E-01	4.08E+00	3.80E+00
V100	2.06E+00	4.53E-01	5.62E-01	5.63E-01	2.65E+00	6.96E+00	6.28E+00	1.30E+00	4.12E+00	6.63E-01	1.47E+00	9.00E+00	5.78E-01	8.46E-01	4.67E-01
