Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V58	1:Ins:C:2	0.0	0.0026907565336769176	0.0	0.024182772809902987	0.9677825605420641	0.0	0.0	0.005343910114355932
V58	1:Ins:C:3	0.0	0.6381825626806019	0.0	0.0	0.3617274971495392	0.0	0.0	8.994016985886864e-05
V58	1:Ins:C:4	0.0	0.09826710700105094	0.0	0.24531995735093554	0.6564129356480134	0.0	0.0	0.0
V58	1:Ins:C:5	0.0	0.40266190718297795	0.0	0.3200143889268374	0.23251326831304203	0.0	0.0	0.0448104355771427
V58	1:Ins:T:0	0.0	0.012524905712350227	0.0	0.9135318559560248	0.003669167988225822	0.0	0.0	0.07027407034339905
V58	1:Ins:T:1	0.0	0.0007462155416691289	0.0	0.875337504124682	1.933079018397942e-07	0.0	0.0	0.12391608702574694
V58	1:Ins:T:2	0.0	0.0	0.0	0.9573262491122233	0.04094727779130783	0.0	0.0	0.0017264730964688566
V58	1:Ins:T:3	0.0	0.17058592855024252	0.0	0.4772152196333554	0.04832051037143585	0.0	0.0	0.3038783414449663
V58	1:Ins:T:4	0.0	0.39784161514435185	0.0	0.21890631387002682	0.22092958410558203	0.0	0.0	0.16232248688003934
V58	1:Ins:T:5	0.0	0.97475752962554	0.0	0.02521761371262669	7.007362748427859e-09	0.0	0.0	2.4849654470581745e-05
V58	2:Del:R:0	0.0	0.02642988674803564	0.0	0.8081082348274091	0.011340644240025516	0.0	0.0	0.15412123418452983
V58	2:Del:R:1	0.0	0.013257511220061143	0.0	0.09225258021268035	0.1517137527665989	0.0	0.0	0.7427761558006597
V58	2:Del:R:2	0.0	0.003606118637893534	0.0	0.5649041590257051	0.06355904039774499	0.0	0.0	0.36793068193865636
V58	2:Del:R:3	0.0	0.16933694264628554	0.0	0.749307167217554	0.0813318570926206	0.0	0.0	2.403304353991052e-05
V58	2:Del:R:4	0.0	1.216031413810108e-05	0.0	0.4261278985382706	0.573750326880775	0.0	0.0	0.00010961426681639221
V58	2:Del:R:5	0.0	0.0383346367165757	0.0	0.9548667963465093	0.006798566936915039	0.0	0.0	0.0
V58	3:Del:R:0	0.0	0.013542402228982554	0.0	0.8825336732670164	0.004325710428977851	0.0	0.0	0.09959821407502316
V58	3:Del:R:1	0.0	0.040160135702146355	0.0	0.8636793182600766	0.06594501166419711	0.0	0.0	0.030215534373579933
V58	3:Del:R:2	0.0	0.02625381693392589	0.0	0.6075103381725232	0.04021276931500632	0.0	0.0	0.32602307557854443
V58	3:Del:R:3	0.0	7.134729681002352e-05	0.0	0.00034181475373206457	0.132666769933436	0.0	0.0	0.8669200680160218
V58	3:Del:R:4	0.0	0.06814117542038998	0.0	0.5599593730556268	0.11033534063863135	0.0	0.0	0.26156411088535186
V58	3:Del:R:5	0.0	5.351679072425562e-05	0.0	0.0003754483311285095	9.853835737851659e-05	0.0	0.0	0.9994724965207686
V58	4:Del:R:0	0.0	0.0	0.0	0.19768911056606622	0.005507346771973479	0.0	0.0	0.7968035426619604
V58	4:Del:R:1	0.0	0.01282485921029663	0.0	0.7608591532685541	0.05886064404200172	0.0	0.0	0.1674553434791475
V58	4:Del:R:2	0.0	2.829999775709229e-07	0.0	0.11673935359385021	0.04762363319912282	0.0	0.0	0.8356367302070494
V58	4:Del:R:3	0.0	0.06814117542038998	0.0	0.5599593730556268	0.11033534063863135	0.0	0.0	0.26156411088535186
