Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
14,NA,NA,NA,0.3333333333333333,0.14285714285714285,0.043138391103086,0.01782403494282836,0.03048121302295718,26.085715371055045,78.91030276646207,52.498009068758556,NA,5.713668809415342,4.188268592914673,5.705345402087201,4.226908947290308,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.5,0.2727272727272727,0.037290841385713626,0.01045619208411935,0.023873516734916486,26.91083286281114,60.545341857233616,43.72808736002238,NA,4.676853523489792,4.071716608152473,4.680042815234163,4.090531349963665,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.3333333333333333,0.18181818181818182,0.046700598359266356,0.033377640799162854,0.040039119579214605,59.69975990482593,87.67729752387457,73.68852871435026,NA,8.904964673128653,4.269108067634413,8.916067733417563,4.273923302045843,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.045273393252201435,0.016642387245483458,0.03095789024884245,12.246004965140752,53.66361422133798,32.95480959323937,NA,4.794203990611804,3.4756034788923467,4.7983939875284,3.5159123660051397,0.001,20,0.5,0.01,0.15
15,NA,NA,NA,0.3333333333333333,0.13333333333333333,0.04853283316718294,0.022548676858203574,0.035540755012693256,36.908263655955025,82.05812172534884,59.48319269065193,NA,7.391474251615372,3.406974086190933,7.3958602255058095,3.45532770806565,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.5,0.23076923076923078,0.05939011259911704,0.011804685021337946,0.03559739881022749,30.73880604477933,50.96372035215828,40.85126319846881,NA,4.617382464216726,3.483701925638959,4.613409277300454,3.5053484134504695,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.5,0.23076923076923078,0.04833584167941461,0.01954316116557506,0.033939501422494835,28.900102437405703,76.23065899058699,52.56538071399635,NA,5.66801190358799,3.6479461778817424,5.6668071565929825,3.6571685843872532,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.5,0.25,0.049560916090478156,0.02591829675134045,0.0377396064209093,39.06925802662598,83.88146562746091,61.47536182704344,NA,5.573604573340406,4.441112438686822,5.57291797387192,4.446051640435824,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.16666666666666666,0.08333333333333333,0.050570706425361975,0.025334786594437657,0.03795274650989981,38.24563711732046,66.26287466201009,52.254255889665274,NA,6.030128458710914,3.9006145992517913,6.0302730004100535,3.9104308512214225,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.6666666666666666,0.3333333333333333,0.046007810229628306,0.011897935084652835,0.02895287265714057,25.55457429460923,52.87970047449826,39.217137384553745,NA,4.776895812225493,3.9205450674673146,4.775695135143135,3.931674574397466,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.5,0.25,0.05009280625783322,0.019206422033515864,0.03464961414567454,28.667648323190807,64.51588578298457,46.591767053087686,NA,5.089931255168087,3.762987391467926,5.092392310376838,3.77775520681089,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.034762717604764626,0.012111121654417897,0.02343691962959126,16.23525508799335,40.02087848563942,28.128066786816387,NA,4.183625690492676,4.528199758106202,4.186379536366068,4.53388084119207,0.001,20,0.5,0.01,0.15
