Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,overdispersion
9,0.010264677811645811,0.009908489996108733,0.010972571800244676,1,0.7777777777777778,0.010922437143252804,0.0027845427272099074,0.006853489935231356,13.753765894203578,20.81311666640594,17.283441280304757,NA,1.2018488866545225,2.106779675205579,1.2310167137945196,2.121242496145171,0.01,20,0
8,0.009966641370731964,0.00955773584810857,0.01043295029648199,1,0.875,0.011362860673772644,0.0030735285563777523,0.007218194615075198,5.027472117019229,19.63611081521627,12.33179146611775,NA,1.334938107565599,2.181922302611732,1.4289699624655863,2.2190420131993167,0.01,30,0
7,0.009921574695189794,0.009620881528716072,0.01035927619644915,1,0.8571428571428571,0.00497442346587855,0.0027163706796343398,0.0038453970727564445,3.5248481245925545,18.21031829528702,10.867583209939788,NA,1.2476210156049938,2.2692660269409535,1.248160462997052,2.270620476155938,0.01,30,0
10,0.00996881327988815,0.00960233494472329,0.010597498671723252,1,0.7,0.011097550364273578,0.003227827351750869,0.007162688858012223,24.33833583385244,27.184310528682296,25.761323181267368,NA,1.2654763468589214,2.230604817688207,1.2737852808255692,2.240172848617092,0.01,30,0
9,0.010048002373655105,0.0097630242045775,0.01047655818496807,1,0.7777777777777778,0.014854902676697632,0.0036314373052716304,0.00924316999098463,14.463948702421039,44.40974256257165,29.436845632496343,NA,1.2944125441622314,2.279422740913239,1.2965662946287695,2.282632154603302,0.01,30,0
8,0.010093156827674112,0.00970780009715564,0.010484383701752692,1,0.875,0.010118955282220551,0.002852264030633687,0.006485609656427119,6.942484160001195,20.024926667877427,13.483705413939312,NA,1.353687672236579,2.3145398135145063,1.4086181341438666,2.3510895494063657,0.01,30,0
9,0.009996355611395329,0.009468997490227164,0.010562355033137358,0.8333333333333334,0.7777777777777778,0.013928333636628938,0.0036762775678540922,0.008802305602241515,17.471727154763357,24.84660302649994,21.159165090631646,NA,1.330933439696293,2.2488238855456575,1.3688794632402785,2.2777820455617976,0.01,40,0
7,0.010009857230524414,0.009621233791900623,0.010407737552018199,0.8333333333333334,0.7142857142857143,0.006144591585762724,0.004156995592914575,0.00515079358933865,14.384116658603185,37.506539428366274,25.94532804348473,NA,1.5242122794073947,2.333422908177499,1.524098936973823,2.3350835255429563,0.01,40,0
7,0.010017042340668629,0.009689155384981003,0.010409923714990832,1,0.8571428571428571,0.005250914055071797,0.0025570777635152606,0.003903995909293529,2.0748093215111174,16.29801636341677,9.186412842463945,NA,1.1952208012758234,1.9954851148192774,1.1958893093980616,1.9981097842127074,0.01,40,0
6,0.01003279224397719,0.009727291388358062,0.010344217848808705,1,1,0.0017152809556571275,0.003328488226577043,0.0025218845911170852,2.938764907504645,18.873256637765984,10.906010772635314,0.9886849311698335,1.2146133454335517,2.0946671298191544,1.2148502605080966,2.094990842253405,0.01,40,0
