Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,overdispersion
5,NA,NA,NA,0.6666666666666666,0.8,0.007873486894120063,0.00650495490551773,0.007189220899818896,52.43232526381558,82.31676236698537,67.37454381540047,NA,4.497064178255834,6.183625724532222,4.497344206717513,6.183999122194099,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006249663613235588,0.008066594116321373,0.00715812886477848,28.2401168619932,56.54124791550535,42.390682388749276,NA,3.8991300961340127,5.724762189986419,3.898831683051998,5.725260119786707,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.008638132935085766,0.007961885069870731,0.008300009002478247,51.72594383363433,97.30595356808136,74.51594870085785,NA,5.653019143497137,6.6155632003008735,5.654340241798656,6.616104902738945,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.006305609157073167,0.02186154158649109,0.014083575371782129,16.05736139232822,81.0528469465444,48.55510416943631,NA,6.141667585388892,7.710997657685643,6.142902924665013,7.712419673442392,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004999433103910867,0.006785522319670666,0.005892477711790767,33.56392103792756,80.00115640873378,56.78253872333067,NA,4.135816059041517,5.842449438172116,4.136380950464833,5.842784806228305,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.00382982241121864,0.008159053463074053,0.005994437937146347,26.234178136458933,70.08126146906068,48.15771980275981,NA,4.100521137466839,6.21159205268552,4.1006360479524595,6.212192779282834,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006087592024648109,0.009264910408760551,0.00767625121670433,23.07060936604859,81.37187362185401,52.2212414939513,NA,4.784752917740337,5.869789004182312,4.785022548566969,5.870590327022614,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.0053340794426136665,0.025889105792124733,0.0156115926173692,10.411388570166839,82.00470113722689,46.20804485369686,NA,7.339748728195245,8.41230792046506,7.340800300193891,8.413710993470508,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006189046916135098,0.007378998156768943,0.006784022536452021,36.08122211672462,68.74289263405721,52.412057375390916,NA,3.803019224342054,4.955152650442715,3.802976797336953,4.955880513278846,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.00510604755636111,0.008467895766245521,0.006786971661303315,27.921161963089517,73.7270616314834,50.824111797286456,NA,3.8889407028764977,5.364985831345514,3.8897444871642506,5.3662901776915986,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.008385252320830351,0.006414034348174424,0.007399643334502388,44.50576879231215,90.89426081695271,67.70001480463243,NA,4.697644722333647,6.311514208253834,4.698747201149645,6.312178612004622,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.0066264522488951455,0.008715867617452073,0.007671159933173609,50.68740436592312,87.5699448932306,69.12867462957686,NA,4.543827266951777,5.692767929400874,4.543682248607404,5.693606841408665,0.001,5,0.15
6,9.974780736625403e-4,9.821853085320723e-4,0.001011053494489448,1,1,0.003781324232706888,0.0038172666196344277,0.003799295426170658,2.1668003398227307,30.264006721123394,16.21540353047306,0.9886065650134606,3.258067757537633,4.631908723083274,3.2580736089779827,4.632311607782258,0.001,10,0.15
6,9.999817554011956e-4,9.945676309738778e-4,0.0010031152334758124,1,1,0.0026820145333406467,0.004017621805500813,0.0033498181694207297,5.834044949923241,37.93446866911144,21.88425680951734,0.9896040660387438,3.7817277076578324,5.816375606446665,3.781965404629919,5.816993120566528,0.001,10,0.15
6,9.992605593999446e-4,9.931786864979695e-4,0.0010040259871093742,1,1,0.0024505491757047743,0.0037732842467850846,0.0031119167112449294,2.958264641766081,55.696239389621105,29.327252015693592,0.986376809498509,6.9014172917559975,5.771547694255583,6.902577312134419,5.772060510693505,0.001,10,0.15
