Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,epsilon,Kused,overdispersion
5,NA,NA,NA,0.8333333333333334,1,0.001917683738100623,0.014159459739878283,0.008038571738989453,9.531142033513401,103.09209721701664,56.311619625265024,NA,3.2628457252259873,3.7337393777091696,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.0018420714763377531,0.012172509041366238,0.007007290258851996,3.414373399526724,81.41853296836315,42.41645318394494,NA,2.8226584530165684,3.3987123998527546,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.008798236948954792,0.007348374327344471,0.008073305638149631,34.72367436507195,66.96813951482369,50.845906939947824,NA,2.345522688570926,2.978129379621976,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.006728763083111099,0.004986357081038829,0.005857560082074964,33.984083506148245,49.300229029623836,41.64215626788604,NA,2.001703256156696,2.600483951514231,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.005394670437890972,0.006127333700891736,0.005761002069391353,29.86360758352683,54.37954557560457,42.1215765795657,NA,2.2383829568599705,2.8336714882301646,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.004579874430079373,0.007482122703687677,0.0060309985668835255,32.76965798345002,59.3893037496925,46.07948086657126,NA,2.127573980145316,2.921323599202239,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.01320747654656112,0.009596084404187015,0.011401780475374067,47.17876799258743,50.762711601220545,48.970739796903985,NA,3.8439035940353428,4.253976203037083,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.005405682931312687,0.005859525212475207,0.005632604071893947,32.79982750686637,50.245458330643686,41.522642918755025,NA,2.300008453897387,2.912284180745756,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.004725739861417943,0.006116796056574091,0.005421267958996017,23.557923309769237,42.968889380313854,33.263406345041545,NA,1.9491634512623415,2.62512991679495,0.001,5,0
6,0.001000705045257977,9.934443534376383e-4,0.0010096725423377909,1,1,0.0019126542168045905,0.0029558110286506383,0.0024342326227276144,4.275397043828525,20.24007112454908,12.257734084188801,0.9907994689864381,1.2939328197255582,2.275395327562111,0.001,10,0
6,0.0010002508323873633,9.931243913989364e-4,0.0010103561872036979,1,1,0.0015073927745547847,0.0028998565269130086,0.002203624650733897,1.1904017248562475,15.576821056619822,8.383611390738036,0.9942784784005437,1.1080779621880952,2.0695266802083916,0.001,10,0
6,0.0010001996203761237,9.974242798146426e-4,0.0010017141408804099,1,1,0.0020414042162028682,0.003187448061497432,0.00261442613885015,2.4506062798117236,20.904218936980744,11.677412608396233,0.9907053462655725,1.134304226633038,2.2372593990127077,0.001,10,0
6,9.999982929772356e-4,9.933953960429478e-4,0.001010207572694998,1,1,0.0017049686971089438,0.0029470788809718156,0.00232602378904038,3.852187784003419,19.082707326354484,11.467447555178952,0.9936751890440398,1.2371065521586335,2.09779691158174,0.001,10,0
6,0.001002343665658608,9.969370109931372e-4,0.0010100156080113571,1,1,0.001827602548113862,0.0032202756492012144,0.002523939098657538,1.9842818601453573,21.70605769464146,11.845169777393409,0.9921141618381298,1.2510828303029875,2.306601962848622,0.001,10,0
