Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V22	7.29E+01	5.17E-01	8.83E-01	0.00E+00	6.96E-01	3.30E+00	7.23E+01	4.00E-01	3.22E+00	5.33E-01	1.00E-01	3.00E-01
V23	2.83E+01	2.67E-01	1.51E+01	2.41E+00	6.80E-01	1.22E+00	2.87E+01	1.66E+00	1.75E+00	1.52E+01	1.03E+00	9.00E-01
V24	3.74E+00	4.53E-01	0.00E+00	1.52E+00	0.00E+00	3.04E+00	4.16E+00	8.70E-01	2.90E+00	0.00E+00	1.21E+00	9.67E-01
V25	1.00E-01	1.08E+00	1.98E+00	9.77E+00	5.67E-01	8.49E+00	0.00E+00	1.06E+01	8.10E+00	1.50E+00	6.27E+00	2.88E+00
V26	4.68E+01	5.77E-01	5.34E+00	0.00E+00	1.67E-01	4.96E+00	4.74E+01	0.00E+00	6.20E+00	4.61E+00	2.68E+00	5.17E-01
V27	4.00E-01	1.72E+00	0.00E+00	3.03E+00	3.15E+00	1.18E+01	6.63E-01	5.11E+00	1.26E+01	2.77E+00	8.49E+00	3.67E+00
V28	1.08E+01	1.10E+01	2.50E+00	5.08E+00	2.34E+00	0.00E+00	1.00E+01	4.74E+00	0.00E+00	2.84E+00	1.99E+00	1.27E+01
V29	9.84E+00	1.09E+01	8.46E-01	2.59E+00	1.28E+00	0.00E+00	8.91E+00	2.81E+00	7.00E-01	1.69E+00	5.17E-01	1.07E+01
V30	3.97E+00	3.74E+00	3.40E-01	6.49E+00	2.51E+00	1.31E+01	4.70E+00	7.86E+00	1.25E+01	2.90E+00	8.69E+00	5.11E+00
V31	5.93E-01	8.19E-01	0.00E+00	0.00E+00	4.42E-01	7.27E+00	6.40E-01	1.25E+00	4.19E+00	0.00E+00	7.28E+00	1.14E+00
V32	1.57E+00	4.18E+00	0.00E+00	1.74E+01	6.50E+00	1.41E+01	1.33E+00	1.72E+01	1.65E+01	8.32E+00	1.77E+01	7.96E+00
V33	5.74E+00	2.34E+00	1.13E+00	1.61E+00	6.57E-01	3.63E+00	5.25E+00	1.84E+00	2.91E+00	9.00E-01	1.84E+00	3.39E+00
V34	4.48E-01	4.08E+01	5.71E+00	2.64E+00	2.98E-01	8.57E-01	8.20E-01	2.49E+00	9.98E-01	5.54E+00	5.17E-01	4.14E+01
V35	3.94E+00	4.42E-01	4.39E+00	1.28E+00	1.52E+00	7.00E-01	3.36E+00	4.99E-01	1.33E-01	3.48E+00	1.19E+00	0.00E+00
V36	3.13E+00	6.05E+00	4.38E+00	7.31E+00	1.84E+00	4.14E+00	4.24E+00	6.94E+00	4.41E+00	3.16E+00	4.47E+00	1.20E+01
V37	2.14E+00	2.98E-01	2.05E+00	1.31E+00	0.00E+00	8.88E-01	1.91E+00	8.00E-01	1.98E+00	1.83E+00	1.56E+00	3.00E-01
V38	2.91E+00	9.92E-01	1.34E+00	0.00E+00	1.38E+00	6.29E-01	3.32E+00	2.00E-01	2.69E-01	1.54E+00	1.11E+00	4.00E-01
V39	4.81E+00	7.30E-01	6.37E+00	1.89E+00	1.27E+00	1.21E+01	4.17E+00	8.72E-01	1.41E+01	3.27E+00	9.25E+00	8.00E-01
V40	3.07E+00	8.23E-01	3.56E+00	3.42E-01	3.22E+00	7.52E+00	2.14E+00	7.06E-01	7.39E+00	2.47E+00	6.10E+00	4.00E-01
V41	3.27E-01	1.43E+00	8.30E-01	5.37E-01	1.21E+00	1.68E+00	8.14E-01	0.00E+00	1.91E+00	1.00E-01	1.82E+00	8.14E-01
V42	1.57E+00	3.59E-01	3.57E+00	2.30E+00	4.10E+00	0.00E+00	1.69E+00	2.45E+00	0.00E+00	4.33E+00	0.00E+00	0.00E+00
V43	1.45E+01	4.79E+00	6.06E+00	3.15E+00	9.70E+00	3.74E+00	1.23E+01	5.75E+00	5.05E+00	1.09E+01	2.83E+00	7.34E+00
V44	3.12E+00	1.33E-01	2.13E+00	3.79E+01	4.16E+00	1.56E+00	6.57E+00	3.45E+01	1.69E+00	6.57E+00	5.63E+00	8.72E+00
V45	1.76E+00	6.06E+00	0.00E+00	1.00E+00	2.67E-01	1.58E+01	1.59E+00	1.47E+00	1.27E+01	1.18E+00	1.29E+01	5.95E+00
V46	1.60E+00	0.00E+00	2.17E+00	4.47E-01	5.21E-01	3.13E+00	1.46E+00	6.90E-01	2.08E+00	1.12E+00	4.38E+00	1.06E+00
