MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
4:Ins:R:5	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
5:Ins:R:0	2.28E-05	2.33E-03	2.56E-03	7.73E-04	1.09E-04	2.50E-03	6.44E-03	3.10E-03	9.64E-03	3.03E-03
5:Ins:R:1	7.16E-10	9.17E-06	5.58E-06	2.70E-05	2.03E-09	1.62E-05	7.34E-05	1.04E-04	8.17E-05	7.38E-05
5:Ins:R:2	3.12E-10	2.81E-06	3.00E-06	0.00E+00	1.91E-09	5.10E-08	2.65E-06	2.93E-08	3.11E-08	4.38E-08
5:Ins:R:3	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
5:Ins:R:4	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
5:Ins:R:5	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
2:Del:M:1	2.79E-04	1.05E-03	1.98E-03	3.42E-07	5.02E-05	3.97E-03	2.57E-03	1.39E-03	2.55E-03	1.41E-03
3:Del:M:1	1.56E-05	1.11E-04	1.51E-04	2.83E-04	3.99E-05	3.97E-04	9.50E-04	1.08E-03	6.39E-04	7.36E-04
3:Del:M:2	1.76E-04	9.40E-05	1.74E-03	2.61E-04	5.89E-05	3.01E-03	1.54E-03	9.83E-04	1.44E-03	1.02E-03
4:Del:M:1	1.98E-05	1.35E-04	5.45E-04	2.00E-04	1.67E-09	7.75E-04	6.36E-04	1.01E-03	4.67E-04	2.89E-04
4:Del:M:2	5.00E-05	2.77E-04	8.71E-04	2.39E-04	1.58E-09	1.56E-03	1.23E-03	7.04E-04	9.15E-04	1.01E-03
4:Del:M:3	1.48E-04	3.32E-04	1.75E-03	2.36E-04	8.11E-05	4.37E-03	1.82E-03	7.88E-04	6.08E-04	1.45E-03
5:Del:M:1	3.53E-05	5.08E-04	6.21E-04	1.89E-03	4.46E-05	7.78E-04	2.20E-03	7.44E-03	2.04E-03	1.51E-03
5:Del:M:2	5.76E-05	4.39E-04	7.61E-05	2.44E-03	7.80E-05	6.76E-04	1.42E-03	4.57E-03	1.32E-03	1.65E-03
5:Del:M:3	3.28E-05	1.20E-04	4.18E-04	2.12E-03	7.67E-05	8.72E-04	1.81E-03	2.90E-03	7.96E-04	8.51E-04
5:Del:M:4	1.43E-05	1.39E-04	1.58E-04	1.17E-03	1.07E-09	1.37E-03	4.67E-04	1.58E-03	9.13E-04	2.66E-04
5:Del:M:5	5.73E-05	2.47E-04	6.69E-04	1.18E-03	5.37E-05	1.22E-03	1.35E-03	8.71E-04	1.85E-03	1.42E-03
