Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	60	237	102	102	35	24	9
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	91	249	0	210	794	40	41
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	165	155	35	122	10	19	9
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	5	22	0	69	5	3	25
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	23	115	46	63	15	33	0
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	185	159	118	107	14	41	0
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	72	245	0	129	27	47	18
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	36	66	82	72	8	0	2
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	137	234	96	87	1155	49	10
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	137	43	250	250	1184	5	50
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	240	251	0	466	103	33	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	61	0	0	63	330	211	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	59	123	111	55	25	17	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	88	194	146	19	62	28	2
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	41	122	111	63	22	30	16
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	64	413	144	51	17	28	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	40	134	77	41	15	28	53
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	161	222	23	109	18	29	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	49	176	134	57	17	17	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	74	166	28	82	11	33	41
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	102	157	83	119	17	12	8
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	9	12	45	39	8	20	0
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	114	274	173	48	28	34	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	91	246	97	67	16	8	0
