Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V79	0.00E+00	0.00E+00	7.67E-01	1.09E+00	1.76E+00	4.67E-01	8.09E-01	5.00E-01	9.17E-01	1.79E+00	2.54E+00	7.00E-01
V80	1.28E+00	1.66E+00	0.00E+00	1.22E+00	1.03E+00	0.00E+00	1.35E+00	1.00E+00	1.69E+00	9.32E-01	0.00E+00	1.70E+00
V81	2.39E+00	0.00E+00	2.14E+00	2.19E+00	0.00E+00	1.83E+00	1.24E+00	2.36E+00	1.26E+00	0.00E+00	5.39E-01	2.26E+00
V82	6.00E-01	0.00E+00	6.82E+00	2.44E+00	1.30E+00	5.15E+00	5.95E+00	6.30E+00	1.00E+00	3.06E-01	0.00E+00	1.03E+00
V83	1.88E+00	5.80E+00	4.76E-01	1.24E+00	1.33E+00	7.18E-01	3.27E+00	6.40E-01	1.29E+00	2.14E+00	0.00E+00	4.54E+00
V84	2.04E+00	2.78E+00	2.23E+00	1.73E+00	1.09E+00	1.17E+01	1.24E+01	1.66E+00	1.08E+01	3.20E+00	2.77E+00	4.02E+00
V85	8.97E-01	3.94E-01	1.04E+00	4.53E-01	6.16E-01	3.96E-01	1.49E+00	8.23E-01	1.29E+00	0.00E+00	1.00E-01	5.04E-01
V86	1.58E+00	1.28E+00	5.57E+01	3.20E+00	7.74E+00	6.12E+00	5.96E+00	5.25E+01	5.90E+00	8.09E+00	1.13E+01	1.32E+00
V87	2.29E+00	1.37E+00	1.97E+00	1.27E+00	2.39E+01	7.92E-01	1.70E+00	7.00E-01	1.71E+01	2.49E+01	2.90E+01	1.64E+00
V88	2.10E+00	2.92E+00	6.47E+00	2.18E+00	7.19E-01	0.00E+00	0.00E+00	6.82E+00	0.00E+00	9.69E-01	0.00E+00	2.94E+00
V89	1.01E+00	0.00E+00	5.41E+00	1.03E+00	1.58E+00	1.62E+00	3.01E+00	5.06E+00	3.23E+00	1.89E+00	2.37E+00	0.00E+00
V90	5.67E-01	5.77E-01	4.16E-01	0.00E+00	6.06E+00	9.12E-01	2.02E+00	0.00E+00	3.62E+00	3.89E+00	6.36E+00	5.00E-01
V91	6.99E-01	2.75E+00	1.34E+00	1.05E+00	1.00E-01	2.48E+00	2.40E+00	1.02E+00	9.36E-01	2.69E-01	8.85E-01	2.78E+00
V92	2.76E+00	9.91E-01	3.47E+01	2.83E+00	3.67E+00	0.00E+00	2.21E-01	3.53E+01	4.26E+00	5.48E+00	5.12E+00	1.10E+00
V93	0.00E+00	0.00E+00	0.00E+00	2.47E+01	1.28E+01	6.05E-01	6.37E-01	0.00E+00	0.00E+00	9.68E-01	4.73E-01	1.55E+01
V94	1.83E+00	2.14E+01	1.50E+01	2.09E+00	1.90E+00	2.43E+00	2.83E+00	1.24E+01	6.05E-01	2.54E+00	6.84E-01	2.13E+01
V95	3.33E+00	5.81E-01	4.73E-01	1.09E+00	2.46E+00	1.63E+00	1.42E+00	2.00E-01	2.74E+00	2.19E+00	2.98E+00	2.34E+00
V96	2.49E+00	5.17E+00	2.08E+00	3.73E+00	2.06E+00	3.15E+00	3.44E+00	3.42E+00	3.59E+00	3.38E+00	1.45E+00	7.22E+00
V97	8.17E-01	2.30E+00	1.57E+01	5.59E-01	0.00E+00	0.00E+00	0.00E+00	1.63E+01	1.00E-01	4.01E-01	7.33E-01	1.89E+00
V98	1.26E+00	1.09E+01	2.29E+00	6.80E-01	2.52E+00	2.16E+00	2.17E+00	1.99E+00	1.93E+00	3.11E+00	3.86E+00	1.38E+01
V99	3.07E+00	4.53E+00	3.59E+01	3.00E-01	3.55E+00	2.00E-01	2.67E-01	3.40E+01	2.19E+00	5.07E+00	3.41E+00	4.07E+00
V100	1.00E-01	1.37E+01	7.46E-01	4.28E+00	5.42E+00	2.30E+00	1.02E+00	2.21E+00	3.99E+00	5.16E+00	6.81E+00	1.21E+01
