MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
5:Ins:R:5	3.83E-08	1.04E-07	7.64E-08	5.10E-08	5.06E-08	8.62E-04	2.65E-04	2.60E-04	7.94E-05	8.47E-07	8.43E-05	1.06E-04
2:Del:M:1	0.00E+00	1.23E-03	2.65E-04	6.30E-09	9.29E-04	9.89E-04	2.87E-03	2.12E-03	1.98E-03	9.96E-04	0.00E+00	3.73E-03
3:Del:M:1	2.17E-08	1.47E-08	2.46E-04	1.57E-06	2.75E-04	3.28E-03	3.85E-03	3.36E-03	9.00E-04	1.51E-03	4.67E-03	2.53E-03
3:Del:M:2	9.57E-05	1.81E-03	4.78E-05	1.88E-03	8.43E-04	2.47E-03	8.74E-04	5.67E-03	2.55E-04	1.71E-03	2.01E-02	3.41E-03
4:Del:M:1	5.86E-04	2.40E-04	2.10E-04	1.42E-04	2.75E-07	3.54E-03	9.31E-04	2.49E-03	5.53E-04	3.07E-03	2.94E-03	3.67E-03
4:Del:M:2	2.05E-08	3.91E-05	3.06E-07	3.51E-04	1.38E-03	3.58E-03	3.33E-04	6.79E-04	5.82E-08	2.01E-08	1.96E-04	2.72E-03
4:Del:M:3	9.00E-08	5.89E-05	2.40E-08	8.81E-05	4.20E-04	5.73E-04	1.17E-04	9.46E-04	1.39E-03	1.03E-06	1.02E-03	5.25E-04
5:Del:M:1	3.39E-08	3.36E-08	3.61E-08	1.22E-07	1.22E-03	5.27E-06	3.55E-02	4.13E-02	3.28E-06	3.20E-04	7.73E-03	3.70E-02
5:Del:M:2	5.19E-07	1.82E-03	3.92E-04	1.71E-03	1.23E-04	1.13E-04	2.38E-02	2.21E-02	3.26E-03	3.45E-04	4.40E-03	1.55E-02
5:Del:M:3	1.41E-08	9.25E-08	1.05E-06	1.18E-07	3.69E-04	3.97E-06	1.53E-02	1.18E-02	3.83E-03	1.23E-08	1.45E-04	1.32E-02
5:Del:M:4	1.14E-04	1.60E-08	2.73E-08	1.94E-04	1.40E-03	5.55E-03	4.21E-03	3.08E-03	1.35E-04	4.08E-04	1.28E-05	1.03E-02
5:Del:M:5	1.57E-04	2.39E-04	7.12E-05	1.58E-03	8.49E-05	0.00E+00	2.49E-03	2.37E-03	2.86E-03	5.22E-04	3.00E-03	4.64E-03
