MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
2:Del:R:3	1.40E-04	2.96E-08	4.00E-05	5.89E-08	1.09E-04	1.34E-08	5.53E-04	1.35E-09	5.11E-05	2.05E-04	8.75E-05
2:Del:R:4	1.85E-04	4.11E-08	4.73E-04	7.12E-08	5.16E-05	2.22E-07	1.08E-07	2.67E-08	6.71E-08	6.12E-04	6.51E-04
2:Del:R:5	1.80E-04	3.86E-08	9.93E-08	9.40E-08	4.47E-08	2.03E-07	4.50E-08	3.32E-04	4.32E-04	7.99E-05	6.64E-05
3:Del:R:0	8.54E-04	8.66E-05	8.66E-04	7.96E-06	1.24E-08	2.70E-03	7.71E-04	2.34E-03	5.47E-03	8.22E-04	1.47E-02
3:Del:R:1	1.41E-03	1.85E-04	3.39E-03	1.08E-03	2.65E-04	4.27E-04	4.44E-03	5.42E-03	4.97E-03	1.28E-02	5.14E-03
3:Del:R:2	4.87E-04	2.84E-05	2.56E-04	0.00E+00	1.64E-08	6.75E-05	7.18E-04	8.99E-04	6.49E-05	7.76E-04	1.10E-03
3:Del:R:3	2.49E-08	4.48E-08	0.00E+00	3.30E-04	1.97E-04	3.48E-04	1.49E-05	2.25E-03	4.46E-03	3.89E-06	8.15E-04
3:Del:R:4	1.06E-08	8.53E-09	8.54E-08	7.48E-09	8.72E-09	2.42E-08	7.74E-08	7.41E-08	8.96E-08	4.57E-08	6.27E-08
3:Del:R:5	1.06E-08	8.53E-09	8.54E-08	7.48E-09	8.72E-09	2.42E-08	7.74E-08	7.41E-08	8.96E-08	4.57E-08	6.27E-08
4:Del:R:0	1.02E-07	4.80E-08	1.57E-04	1.07E-04	2.56E-05	9.35E-04	6.77E-04	2.77E-03	1.05E-03	2.97E-03	4.76E-03
4:Del:R:1	8.04E-04	1.32E-04	2.20E-03	4.52E-04	3.58E-04	1.24E-06	3.27E-03	3.46E-03	3.64E-03	1.93E-03	3.53E-03
4:Del:R:2	1.76E-04	7.16E-05	2.07E-04	7.54E-05	3.62E-08	0.00E+00	9.68E-04	0.00E+00	2.30E-04	3.78E-04	1.18E-03
4:Del:R:3	4.60E-08	4.31E-08	2.09E-07	8.03E-05	5.47E-08	3.06E-08	9.96E-08	4.88E-08	9.49E-08	4.79E-04	9.16E-05
4:Del:R:4	1.06E-08	8.53E-09	8.54E-08	7.48E-09	8.72E-09	2.42E-08	7.74E-08	7.41E-08	8.96E-08	4.57E-08	6.27E-08
4:Del:R:5	5.03E-05	5.29E-08	1.95E-08	3.51E-05	6.08E-08	9.52E-08	7.49E-08	2.56E-04	1.00E-07	1.94E-07	9.38E-08
5:Del:R:0	2.13E-04	1.40E-46	2.26E-03	6.21E-04	0.00E+00	1.89E-02	1.70E-04	2.33E-02	2.53E-02	6.95E-03	3.19E-02
5:Del:R:1	5.76E-04	9.65E-09	8.64E-05	6.96E-05	8.15E-05	2.47E-04	5.54E-05	5.99E-04	1.10E-03	1.13E-03	5.10E-04
5:Del:R:2	3.21E-08	1.12E-02	2.56E-07	8.20E-08	2.44E-08	1.29E-07	3.60E-07	1.93E-07	3.03E-02	1.05E-07	4.57E-07
5:Del:R:3	1.15E-07	4.60E-08	2.57E-07	6.09E-08	2.92E-08	8.49E-05	7.57E-08	2.19E-04	2.27E-04	6.46E-08	8.15E-08
5:Del:R:4	5.03E-08	5.20E-08	8.48E-08	6.75E-08	5.96E-05	5.02E-07	6.96E-08	8.87E-05	2.76E-07	5.28E-08	1.04E-04
5:Del:R:5	7.56E-05	5.37E-08	2.17E-04	5.09E-08	6.45E-08	3.36E-08	9.63E-07	7.33E-08	2.84E-07	1.37E-04	1.87E-07
