MutationType	ID1	ID2	ID8	ID9	ID83A	ID83E
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00000001	0.00000005
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00000000	0.03174424
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00018500	0.00000004
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.05509906	0.00000092
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000006	0.00021493
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00004542	0.00000981
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00000003	0.00000076
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00000001	0.00044076
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00000013	0.00000011
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.06886198	0.00145767
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00000001	0.00004331
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00018107	0.00008699
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00000012	0.00000014
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00000000	0.00003475
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000015	0.00000029
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00000011	0.00000010
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00000005	0.00000005
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00026618	0.00014305
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00060958	0.00000000
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00052170	0.00045878
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00000000	0.00053650
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00028285	0.00009871
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00031898	0.00000001
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00012609	0.00000001
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00000000	0.00324334
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00120158	0.00046176
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00041357	0.00049592
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00021068	0.00072740
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00001343	0.00003950
