MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
4:Ins:R:5	2.59E-04	0.00E+00	0.00E+00	0.00E+00	4.46E-04	6.30E-04	4.56E-05	0.00E+00	2.50E-03	3.48E-04	7.01E-04	4.60E-04
5:Ins:R:0	3.44E-08	2.41E-08	4.25E-08	5.32E-08	6.61E-08	1.15E-04	5.23E-08	1.17E-07	2.45E-04	1.15E-04	1.08E-07	3.09E-08
5:Ins:R:1	1.53E-07	2.91E-04	3.33E-02	8.95E-07	1.16E-07	3.42E-08	2.51E-07	1.75E-07	5.70E-03	7.07E-04	5.01E-08	6.40E-03
5:Ins:R:2	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
5:Ins:R:3	2.74E-08	2.35E-08	3.06E-08	6.78E-05	5.30E-05	3.23E-08	4.40E-08	1.58E-06	4.67E-08	5.09E-08	2.52E-04	1.55E-08
5:Ins:R:4	3.27E-08	3.16E-08	1.49E-04	4.26E-08	9.59E-05	3.75E-08	5.04E-08	1.20E-07	7.11E-08	8.25E-05	1.05E-07	5.49E-08
5:Ins:R:5	4.44E-05	4.97E-09	2.57E-08	7.45E-05	3.30E-08	4.20E-09	0.00E+00	3.76E-08	8.91E-05	1.09E-04	5.84E-08	1.64E-07
2:Del:M:1	2.48E-08	1.92E-05	3.50E-04	8.36E-04	3.19E-04	2.32E-04	9.97E-04	1.60E-03	1.25E-03	7.40E-04	2.58E-08	1.21E-03
3:Del:M:1	1.71E-04	0.00E+00	1.73E-08	1.18E-03	4.99E-04	0.00E+00	9.80E-04	7.45E-04	4.02E-03	1.53E-03	4.42E-04	3.15E-05
3:Del:M:2	2.61E-04	3.73E-07	0.00E+00	1.46E-04	3.56E-04	2.09E-04	2.61E-03	1.35E-03	5.19E-03	3.34E-03	9.36E-04	1.75E-03
4:Del:M:1	2.47E-04	4.51E-05	2.45E-07	5.33E-04	7.08E-05	7.32E-05	8.84E-04	8.97E-04	2.24E-03	8.02E-04	7.23E-06	2.13E-03
4:Del:M:2	5.14E-09	1.11E-04	6.33E-05	6.70E-04	3.22E-04	0.00E+00	1.31E-03	1.54E-03	2.38E-03	1.05E-04	3.46E-08	2.29E-04
4:Del:M:3	0.00E+00	0.00E+00	0.00E+00	3.77E-04	2.47E-04	8.81E-05	1.32E-03	8.99E-04	2.89E-04	3.44E-04	7.44E-04	8.63E-04
5:Del:M:1	0.00E+00	2.26E-08	5.81E-07	5.77E-02	1.27E-07	7.76E-04	1.83E-06	2.44E-07	8.39E-02	7.86E-02	5.21E-03	1.25E-03
5:Del:M:2	4.93E-08	2.86E-03	3.64E-02	9.46E-03	2.93E-07	2.54E-07	5.21E-03	2.31E-03	2.11E-02	8.50E-03	3.58E-07	2.06E-02
5:Del:M:3	2.38E-05	4.91E-04	3.76E-04	9.67E-03	4.73E-04	3.34E-04	8.82E-04	4.97E-04	2.82E-02	1.95E-03	7.04E-08	8.69E-04
5:Del:M:4	1.79E-08	6.32E-09	2.06E-08	1.42E-03	2.17E-04	3.40E-04	3.14E-06	9.21E-07	2.84E-03	2.86E-03	1.26E-07	6.48E-05
5:Del:M:5	4.49E-04	8.57E-05	4.29E-05	2.43E-03	6.84E-04	0.00E+00	4.51E-04	5.92E-04	9.34E-03	9.86E-04	0.00E+00	2.76E-04
