M,N,rep,Kused,Kselected,time,ess_mu_min,ess_mu_median,ess_mu_mean,ess_logpost,ess_mean_per_sec,experiment
96,120,2,20,6,645.846423625946,220.02309270173592,423.36576661201855,428.7268026064979,356.92826413768245,0.6638215943033587,M
96,120,3,20,6,581.7391991615295,254.84242902628728,428.26827396510123,408.3160321659034,454.92698543337127,0.7018884626554582,M
96,120,4,20,6,636.3225519657135,320.59405882624344,394.6828085289754,549.2600817995296,301.37618312155024,0.863178713535718,M
96,120,5,20,6,636.8123459815979,229.4981120888251,359.2988729191027,455.2029545298714,435.69813337502416,0.7148149017560433,M
96,120,6,20,6,627.6318390369415,283.2643434271142,386.40573404291194,427.12903486999863,307.97018535253835,0.6805407379036079,M
96,120,7,20,6,635.4357869625092,306.5752513293266,369.6722631888015,391.11938899856386,357.29610673577355,0.6155136317835999,M
96,120,8,20,6,607.7822341918945,175.3394137732233,331.4315750287545,430.02972595437484,296.03868197153975,0.7075391509693288,M
96,120,9,20,6,615.7677221298218,345.5438280152671,613.4676186564684,599.5739995594098,338.9081583221049,0.973701572868417,M
96,120,10,20,6,608.6624817848206,205.83087582819022,542.4795699108988,547.0565090155952,474.61162355250104,0.8987846719440072,M
192,120,1,20,6,1155.6623704433441,273.998454187543,356.2244978567731,449.5682733459305,191.52974244649056,0.3890135084812562,M
192,120,2,20,6,1131.6702761650085,281.34388109372594,575.6130407682185,613.5100213590124,394.9448376841474,0.5421278920906788,M
192,120,3,20,6,1130.9177284240723,247.7758684882671,477.30888774651777,484.1328020097179,286.1577474270463,0.42808843635721794,M
192,120,4,20,6,1175.2136158943176,164.47744624784593,443.59289079987275,403.5977211477398,364.9307905788245,0.343424987329311,M
192,120,5,20,6,1131.9217352867126,203.35822166105018,505.04595318614,529.538246767722,309.3138745762508,0.4678223151476028,M
192,120,6,20,6,1129.2373151779175,194.0150161961657,364.5426697161587,364.3348662566526,284.6653135714394,0.3226379976641577,M
192,120,7,20,6,1173.0509283542633,100.40684088979943,393.4289664791698,421.43263918224955,252.85588441127476,0.3592620141168979,M
192,120,8,20,6,1152.1624262332916,328.2954470484256,535.7109472754305,579.9466196611367,512.766851439187,0.5033549145992617,M
192,120,9,20,6,1072.7192935943604,238.08766146918092,343.3383468361451,416.3941104381513,413.89384140255737,0.3881668885090522,M
192,120,10,20,6,1175.3593919277191,119.200700642342,500.52412062209015,452.0018495695331,318.2360527517666,0.38456480007208704,M
