MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
5:Del:R:4	2.09E-08	2.79E-08	3.32E-08	5.85E-05	8.70E-08	7.07E-08	5.53E-08	9.45E-08	1.34E-07	5.30E-04	5.19E-08	2.72E-07	2.21E-07	1.90E-07	7.69E-07	9.13E-08	3.95E-04	1.14E-03
5:Del:R:5	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
2:Ins:R:0	4.85E-05	1.25E-06	7.65E-05	3.09E-05	2.18E-05	9.21E-04	1.28E-03	5.18E-06	2.23E-04	5.27E-08	1.43E-03	1.44E-03	5.12E-04	2.47E-09	7.27E-08	6.71E-04	1.58E-03	3.73E-04
2:Ins:R:1	0.00E+00	3.72E-03	0.00E+00	2.42E-04	4.20E-46	1.40E-46	3.80E-03	6.39E-04	2.01E-02	1.48E-02	0.00E+00	6.17E-02	2.30E-03	4.11E-04	5.14E-03	3.84E-03	6.33E-07	1.26E-02
2:Ins:R:2	2.31E-08	9.89E-08	2.99E-08	4.57E-05	2.17E-07	6.37E-08	2.34E-04	7.32E-08	3.48E-08	1.71E-04	5.09E-05	9.95E-08	1.09E-07	6.84E-08	8.99E-08	2.94E-04	2.63E-03	4.82E-04
2:Ins:R:3	1.14E-08	4.40E-05	3.94E-09	2.04E-04	4.80E-07	1.18E-08	0.00E+00	9.88E-05	1.96E-04	5.60E-08	5.16E-08	1.80E-03	1.83E-07	2.95E-04	2.53E-06	1.92E-04	1.68E-04	4.20E-04
2:Ins:R:4	7.45E-04	9.90E-05	1.14E-04	1.85E-04	1.59E-07	3.67E-08	8.88E-05	0.00E+00	4.16E-04	1.63E-07	1.76E-07	3.18E-03	0.00E+00	1.15E-04	6.86E-03	1.17E-03	7.49E-03	1.09E-02
2:Ins:R:5	2.34E-03	8.39E-05	0.00E+00	2.15E-03	0.00E+00	0.00E+00	0.00E+00	2.22E-07	2.02E-02	1.28E-02	3.60E-03	1.70E-03	0.00E+00	1.89E-04	0.00E+00	3.85E-02	1.11E-02	6.49E-02
3:Ins:R:0	1.02E-08	1.33E-08	1.23E-04	1.36E-04	2.70E-08	2.36E-08	2.27E-08	5.53E-07	3.10E-04	2.62E-04	5.62E-04	9.12E-08	7.37E-09	1.39E-08	5.41E-07	2.20E-04	5.53E-04	2.82E-07
3:Ins:R:1	5.06E-08	0.00E+00	0.00E+00	3.34E-04	2.86E-03	6.38E-04	5.25E-04	0.00E+00	0.00E+00	8.24E-04	1.34E-04	0.00E+00	8.42E-08	0.00E+00	8.37E-08	1.56E-03	6.52E-04	1.76E-03
3:Ins:R:2	1.71E-04	2.52E-08	4.62E-08	3.89E-08	1.12E-07	8.54E-08	3.83E-04	7.19E-08	2.13E-07	4.17E-04	0.00E+00	3.38E-03	6.91E-08	5.76E-08	9.33E-07	7.49E-04	3.88E-04	5.67E-04
3:Ins:R:3	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
3:Ins:R:4	4.92E-05	1.73E-04	1.29E-06	5.32E-08	2.54E-07	6.77E-08	0.00E+00	4.51E-08	6.80E-04	3.62E-06	6.07E-04	2.73E-04	8.81E-07	8.27E-08	1.06E-06	4.17E-04	1.95E-04	6.08E-04
3:Ins:R:5	3.65E-04	2.60E-04	4.90E-08	5.18E-08	1.38E-04	2.55E-04	0.00E+00	7.59E-08	6.14E-04	1.88E-03	1.18E-04	1.98E-04	1.57E-07	0.00E+00	9.81E-03	1.20E-04	1.09E-03	3.02E-03
4:Ins:R:0	2.25E-08	2.29E-08	2.28E-08	5.81E-08	1.76E-04	7.42E-08	3.67E-08	3.56E-07	1.04E-04	6.09E-08	1.19E-07	4.22E-04	3.05E-07	3.13E-06	1.29E-06	2.01E-04	8.16E-08	2.81E-07
4:Ins:R:1	8.89E-05	5.84E-09	1.84E-07	3.76E-04	8.85E-04	1.14E-07	1.40E-03	1.69E-04	2.86E-07	1.70E-03	1.48E-03	4.06E-03	3.72E-07	5.14E-04	4.20E-03	2.62E-03	4.24E-04	3.01E-03
4:Ins:R:2	1.26E-08	2.97E-08	3.15E-08	8.11E-08	1.35E-07	2.35E-04	9.83E-07	7.66E-08	9.37E-08	1.18E-06	2.49E-04	8.93E-08	4.28E-07	1.37E-04	2.78E-07	1.80E-05	3.85E-08	1.41E-07
4:Ins:R:3	2.76E-08	1.97E-08	1.47E-07	7.29E-05	6.80E-08	5.66E-08	2.57E-08	1.09E-07	6.55E-05	2.75E-04	5.98E-08	4.50E-05	2.36E-07	1.99E-07	1.34E-07	1.25E-03	7.23E-04	3.80E-03
4:Ins:R:4	7.19E-05	2.75E-08	0.00E+00	4.98E-05	7.71E-08	0.00E+00	2.10E-04	5.77E-04	1.16E-08	4.07E-07	2.82E-07	3.76E-04	1.18E-08	9.21E-04	3.02E-04	1.49E-04	2.16E-04	2.48E-04
4:Ins:R:5	2.45E-04	0.00E+00	3.29E-07	1.11E-04	2.23E-08	2.86E-04	1.15E-03	2.05E-04	1.32E-07	3.37E-03	1.22E-07	7.30E-04	6.25E-04	5.94E-04	2.21E-03	2.37E-03	4.96E-04	9.39E-06
5:Ins:R:0	3.06E-08	2.54E-08	1.11E-02	1.60E-07	3.22E-02	8.86E-08	1.87E-07	3.48E-08	3.87E-07	4.51E-02	1.15E-07	3.21E-07	4.85E-08	1.88E-07	1.62E-02	6.90E-02	1.45E-06	4.26E-07
5:Ins:R:1	2.08E-04	0.00E+00	2.73E-05	5.84E-04	0.00E+00	2.54E-03	9.34E-04	1.25E-04	0.00E+00	4.62E-03	3.65E-03	3.51E-04	6.90E-04	6.70E-04	3.80E-03	8.48E-04	5.01E-03	2.73E-03
5:Ins:R:2	2.73E-08	3.38E-08	3.38E-08	7.53E-08	1.15E-07	5.90E-08	2.83E-08	7.58E-08	1.87E-04	3.69E-04	6.88E-08	9.23E-08	1.44E-07	1.04E-07	3.99E-07	6.04E-04	1.99E-07	4.18E-04
5:Ins:R:3	2.46E-08	2.31E-08	6.84E-05	1.31E-04	1.24E-07	7.42E-08	5.94E-09	5.58E-08	6.04E-08	9.86E-08	4.28E-08	2.01E-07	1.99E-07	6.74E-08	6.49E-07	2.49E-04	1.74E-07	1.19E-07
5:Ins:R:4	9.73E-09	3.46E-08	3.34E-08	5.17E-08	9.51E-08	2.38E-04	6.51E-06	6.03E-08	2.36E-07	6.81E-08	1.37E-04	2.15E-07	1.52E-07	1.66E-07	4.60E-07	5.51E-08	1.11E-07	1.88E-07
5:Ins:R:5	8.35E-05	2.17E-05	3.21E-08	7.08E-08	1.05E-07	5.58E-08	9.02E-05	7.14E-08	1.71E-04	6.64E-08	5.95E-05	1.75E-04	5.92E-08	1.05E-07	2.98E-07	6.16E-05	2.64E-04	1.34E-07
2:Del:M:1	2.45E-04	0.00E+00	3.09E-08	1.84E-08	1.40E-46	1.52E-08	2.05E-04	9.54E-04	1.21E-03	1.11E-03	8.81E-03	1.81E-03	4.08E-03	2.67E-03	5.07E-03	8.66E-03	2.28E-03	0.00E+00
3:Del:M:1	1.48E-08	4.68E-07	0.00E+00	1.82E-08	1.86E-07	3.11E-03	1.52E-03	1.12E-03	3.77E-04	1.53E-08	4.79E-03	2.87E-07	4.28E-46	2.13E-03	3.08E-04	3.88E-03	3.03E-04	9.15E-08
3:Del:M:2	3.43E-04	0.00E+00	0.00E+00	4.08E-04	1.70E-08	1.60E-03	1.81E-03	2.61E-04	1.56E-03	1.17E-03	2.27E-03	7.55E-03	3.59E-03	8.72E-04	4.68E-03	8.59E-03	3.69E-03	1.27E-03
4:Del:M:1	1.64E-08	1.46E-04	0.00E+00	1.35E-04	9.44E-04	5.06E-04	2.33E-03	6.35E-04	1.11E-02	4.12E-04	6.35E-03	3.90E-03	1.17E-03	2.40E-03	8.17E-03	1.25E-03	4.34E-03	1.19E-03
4:Del:M:2	1.27E-07	2.91E-08	1.17E-02	6.05E-08	1.71E-02	1.76E-07	7.88E-08	1.53E-07	7.97E-07	2.05E-06	1.65E-07	1.22E-02	5.56E-07	2.89E-06	4.75E-02	6.89E-02	9.09E-03	9.94E-03
4:Del:M:3	4.13E-04	1.29E-03	6.25E-05	5.73E-04	7.54E-04	1.50E-03	1.05E-04	9.58E-04	3.04E-03	1.76E-04	2.18E-03	1.89E-03	1.95E-03	1.09E-03	4.34E-02	8.40E-04	7.88E-03	0.00E+00
5:Del:M:1	3.28E-08	5.92E-04	3.45E-07	8.77E-04	0.00E+00	2.41E-02	2.36E-02	2.80E-46	8.92E-03	1.30E-03	6.22E-02	9.96E-03	0.00E+00	1.39E-06	1.40E-46	1.39E-02	9.78E-03	3.92E-06
5:Del:M:2	3.68E-08	1.83E-04	4.97E-09	3.14E-08	3.35E-03	9.50E-03	2.94E-02	5.09E-08	1.53E-02	9.49E-05	4.02E-02	3.18E-03	1.26E-45	1.16E-02	1.40E-46	6.37E-02	1.12E-02	5.07E-03
5:Del:M:3	3.81E-08	8.45E-04	7.26E-07	7.75E-08	1.92E-03	1.35E-02	7.73E-03	4.47E-04	6.14E-08	2.31E-07	1.57E-02	6.86E-03	2.97E-07	3.32E-03	3.44E-03	4.42E-03	1.65E-07	7.81E-07
5:Del:M:4	4.41E-04	1.50E-03	9.03E-04	8.81E-07	9.99E-04	6.62E-03	1.86E-03	1.40E-46	9.05E-02	2.12E-07	5.12E-03	6.87E-02	2.10E-07	4.81E-04	1.80E-02	1.09E-02	1.11E-03	1.68E-06
5:Del:M:5	1.67E-04	2.16E-03	0.00E+00	1.09E-03	2.00E-03	2.80E-03	2.62E-03	0.00E+00	1.74E-04	2.96E-03	4.33E-03	2.62E-03	1.28E-07	0.00E+00	3.32E-03	1.57E-03	1.73E-03	6.64E-07
