Samples	ID83A	ID83B	ID83C
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	244	57	76
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	58	15	21
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	531	252	57
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	786	177	159
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	337	138	52
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	333	67	26
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	369	56	41
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	458	114	65
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	378	100	52
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	292	82	27
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	326	124	29
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	303	36	81
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	406	461	55
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	164	62	32
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	385	75	43
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	448	235	30
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	413	62	31
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	451	110	47
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	130	39	210
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	1010	431	25
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	330	132	33
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	309	97	27
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	243	334	57
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	589	244	17
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	889	383	162
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	223	51	48
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	487	152	105
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	215	59	34
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	180	38	80
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	283	83	46
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	412	43	25
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	602	184	36
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	13041	8420	573
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	5448	21	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	229	52	30
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	202	188	85
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	100	966	1432
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	406	94	69
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	287	95	1043
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	272	201	42
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	78	9	42
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	223	39	33
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	327	245	52
