Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V25	5.62E-01	2.27E+00	4.67E-01	3.49E+00	6.80E-01	6.90E-01	2.91E-01	6.05E-01	2.39E+00	3.54E+00	0.00E+00	1.35E+00	8.57E-01	2.33E+00	1.40E+00	2.13E+00	7.61E-01
V26	4.47E-01	1.52E+00	1.95E+00	8.12E+00	1.15E+00	5.54E-01	1.43E+00	2.27E+00	4.37E+00	3.75E+00	1.71E+00	9.54E+00	9.38E+00	6.62E+00	7.95E-01	5.54E-01	2.56E+00
V27	2.49E+00	3.73E-01	7.02E-01	0.00E+00	0.00E+00	3.27E-01	2.02E+00	1.78E+00	5.47E-01	4.99E-01	1.85E+00	1.00E-01	0.00E+00	1.48E+00	3.89E+00	1.00E-01	1.38E+00
V28	6.90E-01	7.56E+00	3.14E-01	2.27E+00	1.86E+00	2.77E+00	2.11E+00	1.49E+00	3.40E-01	1.10E+00	2.01E+00	1.00E-01	7.63E-01	2.53E+00	3.00E-01	7.56E+00	3.05E+00
V29	8.14E-01	3.94E-01	2.45E+00	3.51E+00	8.13E+00	9.14E+00	1.81E+00	2.48E+00	1.44E+00	6.53E-01	2.34E+00	2.50E+00	8.75E-01	7.77E-01	1.39E+00	1.64E+00	1.98E+01
V30	1.02E+00	1.69E+00	3.15E+00	1.29E+00	1.00E+00	0.00E+00	0.00E+00	2.67E-01	8.27E-01	3.59E-01	0.00E+00	0.00E+00	9.36E-01	0.00E+00	4.01E-01	1.49E+00	1.10E+00
V31	0.00E+00	1.80E+00	7.02E-01	1.89E+00	1.62E+00	1.62E+00	5.43E-01	0.00E+00	0.00E+00	1.10E+00	4.00E-01	4.00E-01	6.84E-01	4.07E-01	0.00E+00	1.23E+00	2.10E+00
V32	1.00E+00	3.00E-01	1.75E+00	2.99E+00	2.83E+00	3.26E+00	1.37E+00	1.02E+00	3.30E+00	1.86E+00	2.64E+00	8.92E-01	1.17E+00	9.12E-01	2.15E+00	4.67E-01	4.40E+00
V33	2.64E+00	4.90E-01	4.01E-01	7.26E+00	1.23E+01	7.10E+00	2.34E+00	3.08E+00	0.00E+00	1.00E-01	3.82E+00	0.00E+00	7.00E-01	2.38E+00	2.50E+00	0.00E+00	1.28E+01
V34	5.76E+00	1.00E+00	1.47E+00	7.22E-01	8.41E-01	2.77E-01	2.33E-01	6.90E-01	1.95E+00	2.00E+00	1.04E+00	8.97E-01	1.47E+00	3.98E+00	6.08E+00	1.10E+00	9.43E-01
V35	6.05E+00	3.10E+00	0.00E+00	3.14E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.34E+00	2.41E+00	0.00E+00	1.91E+00	3.30E+00	3.00E-01	6.56E+00	3.16E+00	6.40E-01
V36	6.61E+00	1.99E+00	7.81E-01	2.58E+00	1.21E+01	9.63E+00	3.47E+00	8.39E+00	1.15E+00	2.05E+00	1.99E+00	1.95E+00	1.57E+00	2.98E+00	1.05E+01	1.00E+00	7.22E+00
V37	5.89E+00	3.44E+00	2.21E+00	5.66E+00	2.10E+00	2.21E-01	6.95E+00	8.41E+00	6.01E+00	6.14E+00	7.91E+00	6.96E+00	7.81E+00	3.27E+01	8.80E+00	3.04E+00	5.83E+00
V38	9.36E-01	1.95E+00	3.18E+00	3.09E+00	3.31E+00	1.77E+00	2.21E-01	1.53E+00	4.06E+00	3.05E+00	0.00E+00	9.78E-01	1.00E+00	9.98E-01	3.40E-01	1.86E+00	4.73E+00
V39	5.60E+00	4.29E+00	1.53E-01	8.06E+00	1.23E+00	3.89E-01	1.55E+00	1.84E+00	6.36E+00	5.45E+00	3.09E+00	1.10E+01	1.08E+01	6.66E+00	1.20E+00	3.94E+00	3.00E-01
V40	0.00E+00	2.21E-01	0.00E+00	2.36E+00	4.12E+00	1.47E+00	0.00E+00	4.96E-01	2.00E-01	4.00E-01	2.00E-01	0.00E+00	0.00E+00	3.06E-01	3.00E-01	4.82E-01	3.51E+00
V41	3.03E+00	2.18E+00	5.42E-01	1.98E+00	0.00E+00	8.43E-01	1.13E+01	1.46E+01	1.41E+00	6.18E+00	1.39E+01	2.89E+00	2.88E+00	1.90E+01	1.93E+00	1.20E+00	0.00E+00
