MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
4:Del:R:5	4.70E-08	4.92E-05	8.00E-05	5.08E-08	4.48E-08	7.78E-09	5.01E-05	1.13E-07	1.77E-04	4.43E-04	2.50E-08	3.58E-07	1.13E-06	3.95E-08	9.72E-04	7.67E-04	4.53E-04
5:Del:R:0	4.79E-08	7.22E-04	1.89E-08	7.09E-08	1.97E-02	2.43E-08	7.38E-08	3.95E-02	4.03E-02	4.50E-02	1.25E-05	1.96E-07	2.75E-03	3.25E-03	2.15E-02	3.09E-02	2.51E-02
5:Del:R:1	8.49E-09	1.15E-08	6.56E-04	1.03E-04	0.00E+00	8.84E-08	0.00E+00	3.53E-04	2.28E-04	8.45E-07	1.46E-04	7.10E-03	9.77E-04	4.97E-03	4.99E-04	1.75E-03	5.70E-03
5:Del:R:2	3.35E-08	3.63E-05	3.13E-07	2.22E-04	0.00E+00	7.68E-05	0.00E+00	2.25E-08	2.50E-05	2.80E-46	6.45E-04	0.00E+00	0.00E+00	7.90E-04	3.79E-04	5.71E-04	1.70E-07
5:Del:R:3	4.22E-08	1.64E-08	3.51E-08	6.94E-08	9.20E-10	1.06E-07	9.83E-08	9.71E-08	1.77E-04	4.77E-04	3.32E-04	9.15E-08	7.33E-08	6.84E-07	2.04E-07	2.73E-04	4.10E-04
5:Del:R:4	4.87E-08	2.32E-08	2.50E-05	6.53E-08	0.00E+00	1.62E-08	7.01E-08	3.74E-04	8.67E-08	2.58E-07	3.32E-06	8.66E-08	1.54E-07	1.53E-07	2.29E-04	3.82E-04	3.45E-04
5:Del:R:5	1.14E-08	1.15E-08	3.06E-08	4.79E-08	0.00E+00	1.63E-08	4.60E-08	6.66E-08	1.06E-07	2.50E-07	2.36E-07	1.19E-07	6.05E-08	1.27E-07	1.84E-07	2.33E-07	2.70E-07
2:Ins:R:0	4.00E-08	2.11E-05	5.88E-08	0.00E+00	5.67E-04	4.93E-05	2.20E-08	1.33E-08	7.95E-04	1.71E-03	2.31E-03	1.87E-03	7.04E-08	3.29E-03	1.99E-03	2.36E-03	1.11E-03
2:Ins:R:1	2.43E-04	9.40E-10	2.71E-04	3.36E-04	4.59E-04	0.00E+00	0.00E+00	0.00E+00	5.17E-06	1.65E-03	3.13E-04	2.99E-06	0.00E+00	1.77E-04	2.18E-03	2.07E-03	2.71E-03
2:Ins:R:2	7.47E-05	1.21E-04	8.86E-05	2.54E-05	0.00E+00	3.73E-08	0.00E+00	2.49E-04	2.84E-03	2.99E-04	0.00E+00	1.13E-03	2.49E-03	7.77E-04	3.78E-03	7.58E-04	5.92E-07
2:Ins:R:3	0.00E+00	1.08E-04	1.12E-04	2.50E-08	2.18E-07	1.33E-04	3.75E-07	1.01E-08	5.55E-04	6.50E-04	2.11E-04	1.32E-04	0.00E+00	4.67E-04	1.45E-03	1.29E-03	1.15E-03
2:Ins:R:4	2.85E-04	3.47E-04	1.83E-04	3.09E-04	0.00E+00	5.35E-04	0.00E+00	0.00E+00	7.38E-04	1.00E-03	0.00E+00	3.33E-03	1.52E-03	1.72E-03	1.24E-03	1.61E-03	4.16E-03
2:Ins:R:5	1.72E-03	7.41E-04	1.20E-03	0.00E+00	0.00E+00	8.17E-04	7.32E-04	3.37E-03	2.33E-03	1.51E-02	1.22E-02	1.55E-02	3.06E-03	5.81E-03	2.70E-02	2.78E-02	7.24E-03
3:Ins:R:0	2.21E-08	1.35E-08	1.08E-04	5.04E-05	0.00E+00	5.59E-07	2.18E-08	7.90E-04	3.16E-04	1.35E-04	8.57E-04	5.40E-05	3.37E-07	3.73E-04	3.89E-04	5.74E-04	5.36E-04
3:Ins:R:1	1.35E-08	2.19E-08	3.43E-04	8.85E-09	5.61E-46	7.25E-07	1.40E-46	1.03E-07	2.28E-05	2.14E-06	1.14E-04	5.42E-04	2.22E-04	5.06E-04	1.50E-03	2.21E-03	4.95E-04
