MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
4:Ins:R:5	0.00E+00	6.82E-05	2.00E-04	2.05E-08	1.97E-08	2.24E-41	1.00E-03	0.00E+00	1.85E-03	3.63E-04	2.74E-03	2.37E-03	2.90E-03	2.60E-03	1.85E-03	5.62E-03
5:Ins:R:0	1.32E-08	1.09E-07	3.71E-08	1.02E-07	2.22E-07	1.22E-04	8.66E-08	7.87E-05	1.25E-04	2.65E-04	2.30E-04	4.15E-04	9.35E-04	1.20E-07	3.69E-04	4.18E-07
5:Ins:R:1	1.25E-04	6.34E-05	0.00E+00	5.09E-08	2.11E-04	1.41E-03	5.29E-04	2.50E-03	4.96E-04	7.03E-03	1.16E-03	1.97E-03	5.90E-03	0.00E+00	3.01E-03	3.11E-03
5:Ins:R:2	1.64E-07	6.38E-09	3.32E-08	1.49E-08	2.71E-04	1.04E-07	1.61E-07	4.16E-08	6.19E-05	4.22E-07	1.89E-08	2.07E-07	3.57E-04	2.43E-07	7.43E-04	6.93E-04
5:Ins:R:3	4.57E-05	4.89E-09	7.63E-08	3.62E-08	1.62E-07	1.66E-04	1.21E-07	6.82E-09	3.47E-07	1.36E-03	0.00E+00	8.00E-05	1.81E-03	1.29E-03	3.28E-04	1.13E-03
5:Ins:R:4	3.40E-05	8.05E-07	9.16E-08	5.26E-05	1.44E-07	1.15E-04	2.01E-04	0.00E+00	6.18E-04	0.00E+00	0.00E+00	6.01E-04	8.20E-07	1.55E-04	1.93E-03	1.73E-03
5:Ins:R:5	9.67E-09	3.10E-08	1.22E-08	1.61E-08	5.49E-08	3.57E-08	7.40E-08	4.83E-08	8.24E-08	2.52E-07	1.17E-07	1.62E-07	1.55E-07	1.79E-07	2.00E-07	3.33E-07
2:Del:M:1	1.80E-04	0.00E+00	2.52E-04	2.88E-08	4.75E-04	1.44E-03	2.46E-06	3.28E-04	7.14E-04	6.17E-03	1.60E-03	4.73E-03	7.61E-03	1.52E-03	4.91E-03	2.22E-03
3:Del:M:1	7.30E-09	4.63E-04	1.95E-04	4.66E-05	9.70E-05	1.85E-05	3.05E-04	6.41E-03	2.45E-03	4.62E-03	9.68E-04	2.03E-03	1.13E-02	2.00E-03	0.00E+00	2.35E-03
3:Del:M:2	2.79E-04	1.42E-03	1.78E-04	2.02E-04	2.51E-04	1.38E-03	1.48E-03	2.53E-03	3.82E-03	8.41E-04	1.49E-04	6.90E-03	2.74E-03	3.41E-04	9.75E-03	2.41E-03
4:Del:M:1	7.22E-05	2.33E-06	3.22E-04	0.00E+00	9.41E-04	5.66E-05	2.02E-03	0.00E+00	2.74E-03	5.95E-04	1.74E-03	3.35E-03	2.91E-03	4.07E-03	9.09E-04	3.81E-03
4:Del:M:2	2.85E-09	2.78E-08	1.19E-08	2.08E-09	9.09E-04	1.52E-03	4.92E-04	1.35E-03	2.99E-04	4.02E-07	1.19E-03	1.80E-04	3.08E-03	3.54E-03	1.45E-08	3.94E-07
4:Del:M:3	2.28E-05	2.46E-04	2.11E-04	0.00E+00	5.58E-04	1.43E-03	1.38E-03	0.00E+00	1.04E-03	1.07E-03	3.19E-03	2.87E-03	2.49E-03	4.86E-09	1.30E-03	2.61E-03
5:Del:M:1	4.98E-08	4.34E-08	1.61E-07	7.46E-04	1.09E-07	8.30E-08	8.14E-02	3.84E-02	1.06E-07	2.78E-02	2.81E-06	3.47E-07	1.92E-06	4.29E-02	4.62E-07	2.49E-06
5:Del:M:2	2.46E-08	1.48E-06	4.80E-08	0.00E+00	3.73E-08	5.97E-07	2.04E-02	2.74E-02	1.39E-02	7.31E-02	1.72E-03	3.73E-07	7.14E-07	2.52E-02	7.38E-07	4.43E-07
5:Del:M:3	0.00E+00	6.63E-08	0.00E+00	2.40E-04	1.30E-04	1.03E-03	6.63E-03	9.42E-03	1.00E-03	1.28E-02	3.74E-03	4.62E-03	3.82E-03	2.50E-02	1.24E-03	4.24E-03
5:Del:M:4	0.00E+00	3.20E-08	0.00E+00	4.38E-07	0.00E+00	2.81E-04	2.89E-03	4.04E-03	3.04E-04	6.09E-03	6.27E-04	1.05E-07	3.80E-03	1.14E-04	2.76E-04	1.51E-07
5:Del:M:5	8.72E-05	2.78E-04	2.19E-06	1.26E-04	4.54E-04	5.81E-04	2.02E-03	4.27E-03	1.31E-03	2.14E-02	1.40E-03	2.50E-03	3.03E-03	2.01E-03	4.94E-03	1.00E-02
