Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V75	2.41E+00	1.71E+00	0.00E+00	1.03E+00	5.86E-01	6.19E-01	2.00E-01	0.00E+00	0.00E+00	0.00E+00	4.90E-01	2.34E+00	5.96E-01	0.00E+00	2.82E+00	4.42E-01	7.61E-01	3.00E-01
V76	3.94E-01	6.46E+00	6.62E+00	1.70E+00	0.00E+00	1.09E+01	4.41E+00	2.42E+01	3.89E+01	1.87E+01	0.00E+00	1.31E+00	1.13E+01	3.53E+00	6.83E-01	1.14E+00	2.19E+00	1.06E+01
V77	7.47E+00	1.30E+01	8.72E-01	1.29E+01	2.15E+01	1.22E+00	1.53E+00	6.09E+00	3.20E+00	1.17E+01	8.68E+00	1.11E+01	1.43E+00	1.54E+00	7.12E+00	4.99E-01	2.45E+01	7.37E-01
V78	1.05E+01	3.59E+01	0.00E+00	3.54E+01	5.12E-01	5.37E+00	8.34E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.08E+01	1.65E+00	7.52E+00	9.79E+00	4.40E+00	2.98E+00	3.40E+00
V79	7.14E+00	1.06E+01	1.21E+00	1.07E+01	3.49E+00	4.46E+00	2.14E+00	1.10E+01	1.06E+01	9.60E+00	2.56E+00	1.21E+01	3.00E-01	1.96E+00	1.46E+00	2.67E-01	5.16E+00	7.74E+00
V80	1.31E+01	1.75E+01	1.86E+00	2.47E+01	1.12E+00	1.25E+00	0.00E+00	5.46E+00	5.97E+00	3.09E+00	8.69E-01	2.41E+01	2.86E+00	0.00E+00	1.44E+01	3.27E+00	2.52E+00	2.49E+00
V81	3.20E+00	3.47E+00	2.89E+00	5.85E+00	2.48E+00	8.87E+00	7.49E+00	1.31E+01	9.66E+00	1.15E+01	1.54E+00	5.42E+00	9.16E+00	1.03E+01	4.37E+00	1.24E+00	4.76E+00	3.88E+00
V82	6.23E-01	2.18E+01	2.72E+00	2.08E+01	0.00E+00	3.02E+00	1.70E+00	2.14E+00	2.13E+00	1.48E+00	0.00E+00	1.98E+01	6.11E-01	1.50E+00	1.00E-01	6.00E-01	1.59E+00	2.24E+00
V83	7.22E-01	9.07E+00	0.00E+00	9.19E+00	2.13E+00	0.00E+00	3.15E+00	7.08E+00	0.00E+00	8.11E+00	8.57E-01	8.51E+00	2.37E+00	2.36E+00	0.00E+00	0.00E+00	1.97E+00	0.00E+00
V84	8.19E-01	0.00E+00	1.52E+00	3.27E-01	1.00E+01	1.66E+00	1.92E+00	4.82E-01	0.00E+00	3.42E-01	3.28E+00	5.17E-01	2.11E+00	2.54E+00	1.03E+00	8.95E-01	1.11E+01	8.03E-01
V85	5.80E+00	4.86E+00	1.13E+00	4.84E+00	0.00E+00	1.20E+01	1.28E+01	1.72E+00	2.87E+00	2.29E+00	5.21E-01	1.86E+00	7.85E+00	5.47E+00	6.40E+00	1.95E+00	6.40E-01	1.80E+00
V86	6.63E-01	1.43E+01	1.46E+00	1.52E+01	3.21E+00	4.80E+00	6.77E+00	1.35E+01	6.19E+00	1.27E+01	1.71E+00	1.46E+01	4.82E+00	4.60E+00	5.84E+00	7.12E-01	3.78E+00	4.68E+00
V87	1.01E+01	4.06E+01	8.11E+00	4.22E+01	1.09E+00	1.86E+00	2.74E+00	4.93E+00	3.79E+00	5.20E+00	7.90E-01	3.55E+01	1.45E+00	2.00E-01	7.66E+00	5.58E+00	2.62E+00	6.80E+00
V88	1.86E+00	6.60E+00	5.80E+00	5.91E+00	1.92E+00	1.75E+00	7.33E-01	2.23E+00	2.17E+00	3.00E-01	0.00E+00	5.14E+00	1.00E+00	1.22E+00	1.81E+00	2.94E+00	2.39E+00	6.43E+00
V89	5.63E+00	9.33E-01	3.16E+00	4.00E-01	5.06E+00	0.00E+00	0.00E+00	3.39E+00	3.50E+00	3.20E+00	3.61E+00	5.37E-01	0.00E+00	5.26E-01	4.41E+00	4.73E-01	6.80E+00	2.16E+00
V90	3.56E+00	1.83E+01	9.29E+00	1.90E+01	2.77E+00	9.04E-01	3.42E+00	1.26E+00	9.80E-01	1.31E+00	2.64E+00	1.72E+01	1.47E+00	1.97E+00	1.86E+00	8.46E+00	5.86E+00	2.30E+00
V91	3.12E+00	3.31E+00	1.22E+00	3.66E+00	5.51E+00	1.30E+00	7.27E-01	5.45E+00	8.36E+00	4.45E+00	2.03E+00	3.90E+00	1.85E+00	1.60E+00	7.92E-01	6.05E-01	5.88E+00	1.72E+00
V92	1.72E+00	7.02E+00	2.04E+00	7.97E+00	1.87E+01	5.69E+00	5.82E+00	2.83E+00	2.92E+00	2.62E+00	9.44E+00	4.69E+00	5.60E+00	3.77E+00	2.85E+00	1.76E+00	1.95E+01	2.48E+00
V93	1.88E+00	0.00E+00	1.11E+00	6.46E-01	2.19E+00	2.38E+00	1.71E+00	5.04E-01	0.00E+00	1.49E+00	7.77E-01	5.54E-01	1.86E+00	1.09E+00	2.08E+00	1.40E+00	6.11E-01	1.59E+00
V94	2.82E+00	0.00E+00	1.28E+00	0.00E+00	1.17E+01	6.57E+00	7.33E+00	8.33E-01	8.94E-01	5.33E+00	7.30E+00	0.00E+00	9.98E-01	5.70E+00	1.11E+00	1.00E-01	1.57E+01	4.27E-01
V95	9.28E+00	1.27E+00	0.00E+00	1.01E+00	0.00E+00	1.46E+01	2.18E+01	0.00E+00	4.01E-01	2.00E-01	0.00E+00	2.59E+00	5.46E+00	1.27E+01	9.37E+00	1.69E+00	2.00E+00	0.00E+00
V96	1.77E+00	1.18E+01	7.67E-01	1.29E+01	2.01E+00	3.29E+00	2.77E+00	6.00E-01	2.67E-01	1.69E+00	7.92E-01	1.20E+01	1.44E+00	1.10E+00	1.82E+00	2.13E-01	1.32E+00	1.10E+00
V97	1.83E+00	4.27E-01	1.62E+01	6.57E-01	5.00E-01	1.59E+00	1.34E+00	0.00E+00	0.00E+00	0.00E+00	2.67E-01	1.37E+00	5.33E-01	5.54E-01	3.02E+00	1.67E+01	3.42E-01	1.22E+00
V98	5.26E-01	2.79E+00	1.62E+01	2.04E+00	3.67E-01	3.04E+00	3.43E+00	8.06E-01	1.41E+00	9.00E-01	0.00E+00	1.25E+00	1.87E+00	2.23E+00	6.40E-01	9.52E-01	1.48E+00	1.67E+01
V99	2.65E+00	1.15E+01	2.41E+00	1.20E+01	1.64E+00	2.53E+00	3.80E+00	1.18E+00	9.00E-01	1.91E+00	4.07E-01	1.31E+01	1.81E+00	2.76E+00	1.92E+00	1.14E+00	1.78E+00	2.20E+00
V100	4.59E+00	1.16E+01	3.41E+01	1.28E+01	8.06E-01	6.95E+00	1.02E+01	4.00E-01	1.20E+00	1.00E+00	0.00E+00	9.79E+00	4.51E+00	5.83E+00	8.36E+00	1.17E+01	2.25E+00	3.67E+01
