MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
3:Ins:R:0	4.16E-05	7.47E-09	1.21E-08	4.96E-04	1.06E-04	1.44E-07	9.85E-05	1.33E-04	3.99E-04	2.84E-04	2.53E-04	4.96E-08	3.19E-04
3:Ins:R:1	6.98E-07	3.72E-08	4.05E-04	1.13E-04	5.41E-08	2.43E-04	1.75E-04	9.85E-06	2.89E-07	0.00E+00	1.01E-03	3.15E-04	1.93E-03
3:Ins:R:2	1.96E-04	5.92E-03	1.74E-07	1.01E-03	1.14E-02	4.18E-04	9.89E-07	3.88E-03	2.98E-04	2.52E-03	1.32E-03	9.08E-03	1.22E-03
3:Ins:R:3	1.18E-04	3.43E-08	1.58E-07	4.30E-04	2.49E-08	6.36E-08	5.18E-07	6.64E-08	1.27E-07	7.59E-05	1.04E-05	1.67E-07	2.46E-07
3:Ins:R:4	3.15E-08	3.12E-08	8.69E-05	4.07E-08	9.13E-05	4.17E-08	4.20E-08	4.02E-05	6.83E-08	9.28E-08	6.74E-05	2.25E-07	7.55E-08
3:Ins:R:5	1.11E-04	2.99E-08	7.81E-04	2.76E-05	0.00E+00	1.36E-07	6.66E-08	6.62E-08	1.92E-08	1.22E-03	1.98E-03	1.09E-03	4.37E-04
4:Ins:R:0	5.25E-08	6.10E-08	4.75E-05	7.45E-04	3.15E-08	8.25E-05	5.15E-06	9.66E-08	4.95E-07	1.19E-03	9.07E-04	1.97E-04	2.96E-04
4:Ins:R:1	2.33E-04	2.55E-04	7.41E-05	4.76E-05	6.14E-04	4.53E-05	1.89E-04	1.79E-03	1.19E-04	6.63E-04	9.21E-05	8.05E-04	8.12E-03
4:Ins:R:2	8.95E-05	5.43E-03	1.14E-08	9.60E-07	3.93E-03	1.22E-03	2.43E-07	1.12E-03	0.00E+00	8.01E-03	9.12E-04	7.60E-03	5.06E-07
4:Ins:R:3	3.03E-05	6.09E-08	9.13E-05	1.40E-46	3.21E-08	8.82E-05	2.42E-04	2.17E-08	3.34E-08	1.71E-04	3.81E-04	5.87E-04	4.68E-07
4:Ins:R:4	1.25E-04	5.42E-08	8.91E-08	6.62E-05	2.57E-06	6.68E-08	8.86E-08	5.43E-08	6.57E-05	6.18E-04	5.52E-08	1.75E-04	1.70E-04
4:Ins:R:5	1.26E-04	2.77E-04	4.15E-04	2.53E-04	1.61E-03	2.63E-08	0.00E+00	0.00E+00	5.87E-04	8.81E-04	3.90E-04	2.34E-03	1.61E-03
5:Ins:R:0	3.70E-08	1.59E-05	2.69E-07	0.00E+00	5.33E-05	2.77E-05	1.06E-04	1.94E-07	2.06E-07	9.65E-04	2.78E-04	2.40E-04	3.85E-04
5:Ins:R:1	2.40E-04	0.00E+00	1.42E-04	3.54E-03	0.00E+00	8.22E-04	9.38E-04	0.00E+00	5.81E-03	3.99E-03	2.36E-03	5.01E-03	2.29E-03
5:Ins:R:2	3.76E-08	9.16E-05	5.31E-08	7.97E-08	9.58E-08	4.95E-08	1.46E-07	9.22E-08	1.06E-04	7.32E-08	5.35E-08	7.04E-04	6.27E-04
5:Ins:R:3	7.79E-05	1.86E-07	4.58E-08	1.00E-04	2.85E-08	1.14E-07	2.71E-08	3.01E-08	5.72E-05	1.59E-04	1.60E-07	1.76E-04	1.56E-04
5:Ins:R:4	2.46E-08	1.97E-08	4.34E-08	8.13E-05	1.65E-08	2.22E-04	2.40E-05	3.39E-08	1.13E-04	4.24E-08	1.97E-04	9.88E-08	0.00E+00
5:Ins:R:5	1.67E-08	1.38E-04	1.11E-04	2.67E-05	4.16E-08	1.99E-08	6.10E-08	1.29E-07	2.64E-04	1.05E-07	4.38E-07	3.82E-07	4.75E-04
2:Del:M:1	3.39E-04	8.28E-05	4.90E-04	1.98E-03	5.81E-03	6.93E-04	1.99E-03	3.02E-03	3.08E-03	4.27E-03	2.91E-03	3.59E-03	1.88E-02
3:Del:M:1	1.89E-07	2.34E-04	1.68E-07	1.23E-03	9.13E-02	1.51E-03	1.81E-03	4.05E-02	2.02E-03	4.04E-03	2.09E-06	1.51E-07	1.01E-02
3:Del:M:2	3.43E-04	9.90E-09	1.23E-03	1.85E-03	3.72E-04	6.46E-04	1.04E-03	0.00E+00	2.33E-03	5.61E-04	4.35E-03	1.58E-02	2.48E-03
4:Del:M:1	1.88E-04	9.82E-09	0.00E+00	2.09E-03	9.23E-04	3.46E-04	7.48E-04	1.68E-06	1.40E-03	1.30E-04	1.04E-03	1.37E-03	1.07E-03
4:Del:M:2	0.00E+00	1.73E-07	0.00E+00	5.91E-04	2.03E-04	9.77E-04	3.96E-06	1.13E-03	1.60E-03	1.40E-46	5.38E-04	3.20E-03	2.30E-03
4:Del:M:3	1.84E-05	0.00E+00	2.78E-04	4.08E-04	2.85E-08	1.28E-03	1.00E-03	7.57E-08	4.88E-04	2.25E-04	4.92E-04	3.48E-03	6.24E-04
5:Del:M:1	1.11E-07	5.90E-08	0.00E+00	2.46E-02	2.22E-04	2.63E-03	1.67E-03	2.75E-04	3.01E-02	2.32E-03	3.30E-03	2.11E-02	4.56E-02
5:Del:M:2	3.42E-06	1.29E-02	4.92E-08	1.04E-02	1.55E-02	4.42E-08	5.09E-08	2.51E-03	1.00E-02	1.77E-02	8.01E-03	3.61E-02	2.35E-02
5:Del:M:3	5.25E-05	0.00E+00	1.01E-07	6.97E-03	8.64E-05	2.69E-04	1.55E-03	4.31E-04	1.14E-02	1.06E-03	9.49E-04	1.70E-02	6.42E-03
5:Del:M:4	2.22E-08	3.26E-08	6.13E-05	5.59E-03	6.38E-05	6.48E-04	2.12E-05	4.96E-03	5.04E-03	9.14E-05	1.71E-03	2.54E-03	6.85E-03
5:Del:M:5	3.11E-04	2.93E-06	5.33E-04	2.29E-03	5.25E-04	1.19E-07	4.11E-04	0.00E+00	3.39E-03	3.58E-03	2.14E-04	1.48E-03	5.10E-03
