MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
4:Ins:R:5	2.45E-04	1.64E-06	1.11E-07	6.06E-04	9.08E-04	4.88E-04	1.04E-03	8.36E-08	3.44E-03	4.69E-04	0.00E+00	7.44E-04	0.00E+00	5.40E-03	1.35E-03	2.42E-03	1.37E-03	2.28E-03	3.07E-03	2.16E-04
5:Ins:R:0	1.88E-06	7.31E-05	5.86E-08	8.44E-04	6.10E-05	2.29E-07	2.37E-07	1.52E-07	9.83E-08	1.70E-04	1.88E-07	1.98E-04	2.20E-05	9.07E-08	1.36E-03	2.01E-04	2.62E-04	7.75E-04	2.52E-07	1.52E-07
5:Ins:R:1	7.95E-10	1.21E-03	0.00E+00	2.87E-03	1.12E-03	5.93E-04	2.40E-08	8.10E-07	1.34E-06	5.25E-03	0.00E+00	5.38E-03	0.00E+00	4.44E-03	4.54E-03	6.34E-03	4.82E-03	3.17E-03	0.00E+00	3.79E-03
5:Ins:R:2	1.10E-07	4.32E-08	2.26E-08	6.41E-08	8.64E-08	5.79E-08	5.51E-08	9.31E-08	9.85E-08	8.67E-08	1.45E-07	1.06E-07	1.25E-07	7.35E-08	1.41E-07	1.18E-07	1.35E-07	6.06E-07	2.97E-07	2.43E-07
5:Ins:R:3	5.58E-05	1.18E-04	3.78E-08	7.11E-08	9.93E-08	7.19E-08	9.81E-04	1.40E-07	1.74E-07	8.56E-08	1.46E-07	6.53E-08	1.52E-07	9.96E-08	2.23E-07	2.08E-07	1.34E-04	7.99E-05	6.10E-04	4.10E-04
5:Ins:R:4	1.62E-07	4.61E-08	3.94E-05	6.36E-04	4.34E-08	8.55E-08	2.61E-07	6.17E-03	7.72E-03	1.62E-07	5.07E-07	1.58E-03	1.34E-04	3.21E-08	3.31E-08	2.23E-03	4.01E-04	9.04E-03	6.63E-07	1.27E-02
5:Ins:R:5	6.69E-04	3.42E-08	3.90E-08	3.36E-04	8.86E-08	2.33E-08	1.31E-06	3.95E-04	3.22E-07	4.95E-04	9.29E-08	1.45E-04	6.13E-07	5.61E-08	3.00E-04	1.53E-05	1.40E-08	1.35E-04	1.81E-06	6.58E-04
2:Del:M:1	1.09E-07	2.78E-03	5.26E-07	3.30E-07	1.90E-07	1.12E-03	2.40E-07	1.07E-01	8.89E-02	9.89E-08	1.23E-06	1.59E-07	3.46E-06	3.03E-04	9.30E-04	2.44E-02	2.27E-03	5.18E-02	2.86E-02	1.14E-06
3:Del:M:1	1.92E-03	3.31E-08	1.46E-07	5.22E-03	0.00E+00	1.75E-03	7.16E-07	6.25E-03	3.99E-04	3.75E-03	2.06E-04	5.34E-03	2.98E-07	2.87E-03	4.33E-03	1.89E-03	2.18E-03	1.04E-03	3.12E-07	6.86E-03
3:Del:M:2	0.00E+00	1.07E-04	2.26E-03	2.46E-03	1.15E-03	1.52E-06	1.84E-08	1.36E-03	1.07E-07	7.73E-03	1.59E-03	7.90E-03	3.63E-03	2.03E-03	2.63E-03	5.37E-03	4.03E-04	2.57E-03	0.00E+00	9.70E-03
4:Del:M:1	1.15E-02	7.10E-04	1.82E-04	1.48E-03	2.47E-03	4.19E-03	2.89E-02	7.67E-04	3.41E-04	1.58E-03	4.40E-03	7.91E-03	0.00E+00	1.06E-03	1.15E-03	3.97E-03	2.74E-03	1.04E-03	7.08E-02	2.15E-02
4:Del:M:2	6.17E-08	2.55E-05	1.99E-06	1.54E-03	8.27E-08	2.65E-03	6.77E-09	4.43E-03	4.44E-08	1.15E-03	3.41E-04	1.76E-03	2.53E-04	1.12E-03	7.32E-03	6.26E-04	1.48E-03	8.86E-04	8.33E-04	3.38E-03
4:Del:M:3	1.99E-03	1.45E-07	1.94E-04	1.60E-03	6.16E-09	6.94E-04	2.33E-08	7.69E-08	5.46E-04	5.36E-04	1.96E-03	6.06E-04	7.83E-04	1.56E-03	1.03E-03	1.23E-03	2.26E-03	7.70E-03	2.37E-04	2.09E-04
5:Del:M:1	1.18E-06	3.30E-03	1.09E-07	2.38E-02	2.36E-07	0.00E+00	2.53E-07	1.42E-02	2.82E-07	2.56E-02	8.31E-07	5.63E-02	1.27E-02	3.05E-03	4.48E-02	3.85E-02	2.96E-02	3.07E-02	2.94E-07	5.51E-03
5:Del:M:2	1.07E-02	2.47E-07	1.61E-04	1.86E-02	1.47E-03	7.73E-04	0.00E+00	1.86E-02	1.61E-07	2.42E-02	4.10E-03	2.99E-02	1.27E-02	4.13E-03	3.25E-02	1.84E-02	1.93E-02	2.10E-02	8.59E-03	4.54E-03
5:Del:M:3	4.67E-03	1.44E-08	9.08E-04	8.22E-03	5.78E-07	2.36E-07	3.46E-07	8.98E-03	6.26E-07	1.14E-02	1.43E-02	2.50E-02	8.76E-08	1.15E-03	2.02E-02	1.07E-02	4.20E-03	7.53E-03	2.76E-06	3.97E-02
5:Del:M:4	0.00E+00	0.00E+00	5.15E-04	8.63E-03	0.00E+00	2.03E-08	0.00E+00	3.41E-03	4.76E-08	1.82E-02	1.01E-06	3.94E-03	9.79E-07	1.73E-03	4.29E-03	4.53E-03	5.44E-03	9.43E-03	4.64E-03	1.00E-02
5:Del:M:5	9.14E-08	4.47E-07	1.38E-07	4.95E-03	8.20E-04	0.00E+00	0.00E+00	1.92E-03	1.02E-07	8.07E-03	5.28E-03	6.14E-03	0.00E+00	1.11E-02	4.27E-03	3.57E-03	2.01E-03	5.07E-03	3.28E-03	3.78E-06
