MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
5:Ins:R:0	2.74E-05	1.30E-03	5.21E-03	6.09E-04	1.07E-04	4.85E-03	4.53E-03	7.37E-03	2.39E-03	1.37E-02	2.58E-03
5:Ins:R:1	2.17E-10	0.00E+00	2.12E-05	2.62E-05	2.16E-09	8.53E-05	2.82E-05	3.27E-05	1.36E-04	1.06E-04	4.75E-05
5:Ins:R:2	1.87E-10	4.48E-06	1.06E-06	9.49E-10	2.92E-09	2.75E-06	7.88E-08	4.13E-06	2.72E-08	2.89E-06	4.54E-08
5:Ins:R:3	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
5:Ins:R:4	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
5:Ins:R:5	1.75E-11	1.17E-08	3.37E-08	0.00E+00	2.68E-10	3.56E-08	1.96E-08	2.77E-08	2.40E-08	3.57E-08	1.91E-08
2:Del:M:1	2.06E-04	6.37E-04	2.70E-03	1.12E-46	5.10E-05	3.92E-03	2.63E-03	4.86E-03	1.61E-03	3.07E-03	1.19E-03
3:Del:M:1	2.76E-05	5.10E-05	3.94E-04	3.16E-04	3.91E-05	6.98E-04	1.40E-03	3.22E-04	1.46E-03	5.56E-04	8.21E-04
3:Del:M:2	2.46E-04	3.85E-04	1.59E-03	2.94E-04	5.90E-05	3.46E-03	1.38E-03	4.26E-03	9.39E-04	1.63E-03	1.05E-03
4:Del:M:1	9.36E-05	2.40E-05	8.33E-04	2.31E-04	1.37E-09	9.27E-04	6.97E-04	1.15E-03	1.20E-03	5.68E-04	1.55E-04
4:Del:M:2	3.64E-05	1.67E-04	8.33E-04	2.87E-04	9.03E-10	1.31E-03	1.29E-03	2.01E-03	8.13E-04	1.11E-03	1.16E-03
4:Del:M:3	1.14E-04	3.21E-04	2.80E-03	2.33E-04	7.88E-05	2.72E-03	1.92E-03	5.23E-03	6.69E-04	3.33E-04	1.62E-03
5:Del:M:1	4.16E-05	6.01E-04	9.83E-04	2.10E-03	4.88E-05	4.18E-04	2.30E-03	2.11E-03	7.42E-03	1.78E-03	2.20E-03
5:Del:M:2	3.12E-05	4.85E-04	7.59E-04	2.69E-03	7.81E-05	3.71E-04	1.74E-03	1.63E-03	5.13E-03	1.79E-03	1.72E-03
5:Del:M:3	2.38E-05	6.82E-05	9.53E-04	2.30E-03	7.54E-05	6.53E-04	1.77E-03	1.42E-03	3.09E-03	1.24E-03	9.35E-04
5:Del:M:4	1.61E-05	3.13E-04	6.37E-04	9.54E-04	0.00E+00	3.15E-04	5.23E-04	1.36E-03	1.88E-03	8.01E-04	1.21E-05
5:Del:M:5	5.69E-05	2.78E-04	1.02E-03	1.31E-03	5.42E-05	9.73E-04	1.33E-03	1.14E-03	1.22E-03	9.77E-04	1.35E-03
