MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:T:4	3.97E-08	4.12E-04	9.35E-04	9.43E-03	6.94E-03	0.00E+00	1.99E-03	1.48E-06	5.64E-02	8.61E-03	4.51E-03	2.27E-02	1.45E-02	0.00E+00	1.87E-46	8.17E-03	1.70E-02
1:Del:T:5	1.95E-08	3.84E-08	9.38E-08	1.73E-02	6.63E-07	5.53E-46	1.25E-02	5.12E-07	2.07E-07	2.57E-06	4.61E-02	1.47E-06	1.79E-02	1.26E-03	1.07E-02	7.95E-02	3.49E-02
1:Ins:C:0	3.23E-05	1.35E-05	1.38E-03	8.17E-05	9.29E-04	8.32E-04	1.26E-07	2.15E-05	2.05E-07	1.37E-03	4.63E-08	3.40E-05	9.96E-04	6.19E-04	1.81E-03	1.89E-04	9.23E-09
1:Ins:C:1	2.41E-08	9.98E-09	1.11E-07	1.79E-04	1.18E-07	2.21E-04	3.15E-08	4.53E-07	1.76E-07	6.20E-04	2.88E-04	6.42E-06	1.47E-03	1.16E-03	1.07E-03	6.96E-04	2.30E-03
1:Ins:C:2	2.84E-08	2.21E-08	4.56E-08	2.51E-07	1.23E-04	6.97E-04	4.34E-04	4.01E-08	1.37E-04	2.20E-03	3.69E-04	7.28E-05	2.43E-07	1.52E-03	2.27E-04	1.14E-03	1.16E-06
1:Ins:C:3	3.94E-08	4.80E-05	1.13E-07	8.89E-05	3.76E-08	7.00E-08	2.77E-05	1.57E-04	9.63E-08	1.18E-07	6.20E-04	9.53E-08	1.29E-07	1.79E-07	1.48E-07	7.22E-04	2.72E-08
1:Ins:C:4	6.54E-06	4.11E-08	6.72E-04	7.05E-04	0.00E+00	0.00E+00	3.19E-03	2.26E-03	0.00E+00	1.20E-03	3.23E-03	4.63E-08	6.18E-04	9.92E-08	4.02E-07	1.01E-02	1.62E-03
1:Ins:C:5	1.94E-07	7.17E-08	2.15E-03	2.29E-03	0.00E+00	0.00E+00	3.47E-04	2.93E-02	1.47E-08	3.66E-03	3.02E-03	6.31E-08	0.00E+00	0.00E+00	2.00E-07	1.41E-02	7.18E-03
1:Ins:T:0	3.01E-04	2.45E-08	3.91E-03	7.85E-04	1.81E-02	1.38E-03	6.43E-03	7.01E-04	4.50E-04	3.80E-03	2.68E-03	1.04E-02	4.23E-03	2.65E-03	1.18E-02	4.39E-03	0.00E+00
1:Ins:T:1	3.70E-08	0.00E+00	0.00E+00	7.53E-04	5.93E-03	1.17E-03	5.34E-03	1.92E-08	7.33E-03	0.00E+00	1.97E-03	8.12E-03	3.14E-03	2.04E-03	5.11E-03	1.59E-03	2.14E-03
1:Ins:T:2	1.36E-04	7.73E-09	4.54E-04	1.43E-04	1.72E-03	6.12E-05	1.31E-03	5.92E-08	6.56E-04	1.87E-03	2.83E-03	1.41E-03	7.40E-04	2.94E-03	2.98E-03	0.00E+00	3.86E-03
1:Ins:T:3	2.09E-08	0.00E+00	1.42E-03	8.22E-08	1.95E-08	6.13E-04	3.30E-03	7.19E-04	1.83E-04	2.07E-03	1.67E-03	6.91E-05	1.01E-08	2.23E-03	8.04E-04	1.17E-03	1.98E-03
1:Ins:T:4	1.29E-07	4.97E-08	2.95E-03	2.09E-07	1.24E-07	4.96E-08	8.42E-03	1.48E-02	1.73E-04	1.09E-02	1.30E-03	0.00E+00	2.13E-06	3.23E-07	1.40E-06	1.64E-02	5.56E-02
1:Ins:T:5	1.59E-08	3.34E-07	9.67E-02	2.29E-46	8.40E-04	3.96E-07	1.88E-07	8.68E-02	2.76E-07	9.60E-02	1.47E-05	1.26E-02	4.47E-07	1.91E-07	1.10E-02	5.02E-03	6.21E-02
2:Del:R:0	4.17E-04	1.47E-07	1.25E-02	0.00E+00	8.80E-03	3.65E-03	6.64E-04	8.35E-04	4.25E-03	8.01E-04	0.00E+00	1.00E-02	3.69E-03	3.63E-03	1.48E-02	0.00E+00	2.25E-03
2:Del:R:1	2.08E-04	0.00E+00	9.29E-03	1.10E-03	1.44E-03	2.78E-03	1.61E-03	2.17E-03	2.02E-03	7.31E-03	1.77E-03	5.24E-03	4.51E-03	1.35E-03	1.02E-02	1.22E-02	6.27E-03
2:Del:R:2	3.70E-08	5.81E-05	0.00E+00	5.07E-04	4.07E-04	0.00E+00	1.72E-03	1.02E-08	3.32E-04	1.70E-07	1.27E-03	5.42E-04	1.63E-03	2.43E-07	1.25E-03	1.00E-02	1.36E-03
2:Del:R:3	2.43E-05	2.06E-08	3.98E-05	3.19E-04	4.19E-04	1.58E-07	6.66E-04	7.61E-07	8.57E-05	4.72E-04	3.80E-04	2.78E-07	6.14E-04	1.75E-07	1.87E-07	7.57E-04	2.14E-03
2:Del:R:4	3.02E-08	1.01E-04	1.19E-04	1.44E-04	1.59E-08	7.56E-08	1.09E-04	4.73E-07	4.18E-08	1.99E-04	2.59E-03	2.21E-08	1.48E-07	0.00E+00	4.73E-04	8.09E-04	4.90E-04
2:Del:R:5	4.27E-08	3.54E-08	1.58E-07	3.58E-05	9.41E-05	4.67E-05	8.11E-04	7.27E-08	4.27E-05	1.67E-04	6.71E-04	1.13E-04	1.80E-04	3.35E-04	1.64E-03	4.13E-04	4.02E-04
3:Del:R:0	6.93E-07	5.92E-05	7.30E-06	1.77E-08	2.33E-03	5.66E-03	4.40E-03	9.43E-05	0.00E+00	1.03E-03	0.00E+00	4.88E-04	5.34E-03	3.28E-03	4.68E-03	0.00E+00	3.90E-03
3:Del:R:1	0.00E+00	9.17E-05	2.09E-03	1.10E-03	4.11E-03	4.91E-04	6.05E-03	8.08E-04	4.07E-04	5.26E-03	2.52E-03	9.60E-04	2.49E-03	1.68E-03	7.78E-04	1.45E-02	8.94E-03
3:Del:R:2	1.04E-03	5.32E-05	1.07E-04	4.07E-04	9.69E-04	4.35E-04	1.49E-08	4.63E-04	6.37E-04	3.64E-04	1.85E-03	5.45E-04	9.19E-04	8.93E-04	5.46E-04	8.19E-04	2.96E-03
3:Del:R:3	2.39E-04	4.75E-09	1.58E-04	2.43E-04	1.57E-04	1.12E-08	2.23E-04	4.56E-07	1.82E-04	7.89E-04	4.69E-04	9.36E-05	3.46E-04	1.40E-07	0.00E+00	1.81E-03	1.52E-03
3:Del:R:4	1.98E-08	3.37E-08	8.11E-08	3.47E-08	6.86E-08	4.69E-08	7.42E-08	1.44E-07	7.33E-08	1.06E-07	7.82E-08	7.38E-08	2.21E-07	1.60E-07	1.51E-07	1.27E-07	4.55E-08
3:Del:R:5	1.98E-08	3.37E-08	8.11E-08	3.47E-08	6.86E-08	4.69E-08	7.42E-08	1.44E-07	7.33E-08	1.06E-07	7.82E-08	7.38E-08	2.21E-07	1.60E-07	1.51E-07	1.27E-07	4.55E-08
4:Del:R:0	2.83E-08	6.31E-09	3.01E-08	1.43E-04	2.97E-04	2.73E-03	2.85E-07	9.75E-04	8.38E-04	9.54E-04	6.11E-08	1.85E-03	1.18E-02	3.66E-03	8.51E-03	1.54E-03	3.03E-03
4:Del:R:1	5.74E-05	1.65E-08	3.04E-03	5.51E-04	4.45E-03	1.42E-03	3.95E-04	2.57E-06	1.56E-03	4.34E-03	1.83E-03	3.60E-03	1.46E-03	1.12E-03	1.60E-02	1.21E-03	5.53E-03
4:Del:R:2	1.35E-07	2.98E-08	7.95E-04	5.62E-08	1.01E-04	7.89E-08	1.24E-06	2.22E-08	9.01E-04	1.05E-08	3.78E-08	6.93E-04	1.64E-03	4.63E-04	1.59E-03	9.35E-08	4.28E-05
4:Del:R:3	2.20E-08	4.28E-08	4.92E-08	3.89E-08	6.25E-08	1.83E-04	7.09E-08	1.46E-07	7.89E-08	1.21E-07	9.29E-08	1.47E-04	7.65E-08	5.80E-06	1.09E-07	1.33E-07	1.23E-07
4:Del:R:4	4.90E-08	3.62E-04	1.61E-04	8.25E-07	1.79E-05	1.85E-07	1.11E-03	2.81E-08	4.09E-07	2.11E-05	3.76E-03	5.72E-04	3.91E-04	3.87E-07	1.63E-03	7.86E-04	2.88E-07
4:Del:R:5	1.98E-08	3.37E-08	8.11E-08	3.47E-08	6.86E-08	4.69E-08	7.42E-08	1.44E-07	7.33E-08	1.06E-07	7.82E-08	7.38E-08	2.21E-07	1.60E-07	1.51E-07	1.27E-07	4.55E-08
5:Del:R:0	1.45E-08	5.42E-07	5.44E-03	0.00E+00	5.04E-04	1.07E-02	1.92E-02	2.73E-07	0.00E+00	3.59E-02	7.05E-03	5.25E-02	1.10E-02	3.52E-02	2.23E-02	6.38E-02	1.83E-02
5:Del:R:1	1.59E-07	2.78E-02	1.36E-03	1.17E-03	3.93E-39	1.52E-07	1.05E-01	4.23E-07	7.70E-08	2.73E-06	3.03E-03	1.91E-02	2.69E-02	1.69E-03	3.00E-07	1.28E-06	2.46E-02
5:Del:R:2	1.87E-08	1.11E-07	6.06E-08	2.14E-04	1.03E-07	5.16E-04	1.78E-04	7.40E-06	5.75E-08	6.07E-05	5.81E-04	4.29E-04	2.93E-03	1.63E-04	0.00E+00	5.71E-04	9.48E-04
5:Del:R:3	3.83E-05	6.28E-08	8.44E-05	2.16E-04	2.80E-08	8.61E-05	1.17E-04	3.66E-08	8.60E-05	2.29E-08	2.05E-04	3.45E-05	1.68E-04	3.39E-07	2.43E-03	1.97E-03	9.85E-04
5:Del:R:4	3.29E-07	5.44E-04	5.88E-08	1.48E-08	4.70E-07	2.88E-08	1.40E-03	0.00E+00	1.15E-04	3.06E-08	0.00E+00	5.49E-04	2.27E-03	1.09E-04	4.68E-04	8.76E-08	7.94E-04
5:Del:R:5	1.98E-08	3.37E-08	8.11E-08	3.47E-08	6.86E-08	4.69E-08	7.42E-08	1.44E-07	7.33E-08	1.06E-07	7.82E-08	7.38E-08	2.21E-07	1.60E-07	1.51E-07	1.27E-07	4.55E-08
2:Ins:R:0	5.31E-05	5.13E-08	9.71E-04	0.00E+00	5.54E-07	6.97E-04	5.02E-08	1.42E-04	1.74E-03	2.65E-07	5.00E-08	5.31E-04	8.77E-03	7.99E-04	1.96E-03	6.29E-04	5.74E-08
2:Ins:R:1	1.63E-08	2.57E-02	2.11E-03	0.00E+00	2.43E-03	2.00E-07	1.69E-23	1.46E-04	2.39E-03	1.40E-46	1.32E-02	3.12E-03	4.62E-04	1.48E-05	8.60E-02	1.66E-07	1.16E-02
2:Ins:R:2	3.27E-05	2.72E-08	7.67E-04	3.01E-04	3.04E-04	0.00E+00	3.22E-07	9.41E-08	8.54E-04	0.00E+00	6.36E-04	2.02E-04	1.19E-03	1.10E-04	2.14E-04	7.77E-04	1.81E-03
