Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	102	69	0	321	682	34	0	179	2	36
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	60	40	170	167	11	15	0	23	27	2
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	6	12	0	26	0	3	0	39	18	25
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	0	51	51	100	7	29	18	39	0	0
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	202	165	0	36	6	42	55	54	64	0
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	45	162	47	130	21	43	13	52	14	11
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	3	36	71	47	5	0	46	25	33	0
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	36	163	207	92	991	45	0	193	38	3
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	155	0	38	115	1021	3	206	235	108	38
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	185	183	81	137	57	29	65	287	69	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	61	0	0	0	277	208	0	49	70	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	76	54	0	136	21	14	68	17	4	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	109	134	0	119	52	25	87	13	0	0
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	59	139	0	0	14	30	62	38	47	16
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	90	406	0	28	12	27	94	26	34	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	56	145	0	24	9	29	0	30	47	48
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	147	152	25	134	16	27	0	31	30	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	73	172	0	46	14	18	51	19	57	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	80	125	0	94	11	33	0	15	43	34
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	0	104	180	51	11	10	50	46	42	4
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	15	6	0	16	5	19	42	17	13	0
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	148	153	0	276	25	32	0	13	24	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	106	196	0	100	9	6	64	36	7	1
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	46	168	0	102	20	32	115	73	0	31
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	138	47	206	90	64	5	186	34	58	0
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	46	13	58	200	16	9	13	41	0	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	31	47	0	188	19	10	0	16	26	20
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	98	108	0	140	9	25	51	33	2	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	0	0	57	110	11	4	28	31	24	0
