MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
2:Ins:R:4	3.16E-04	2.19E-04	0.00E+00	0.00E+00	4.55E-04	1.90E-08	0.00E+00	0.00E+00	0.00E+00	2.09E-07	0.00E+00	0.00E+00	1.19E-04	1.62E-03	5.61E-46	1.99E-03	1.75E-03	0.00E+00	1.56E-03
2:Ins:R:5	2.04E-03	2.24E-03	4.11E-04	1.40E-46	0.00E+00	8.98E-04	0.00E+00	2.25E-03	6.80E-04	4.30E-03	2.40E-03	1.96E-02	1.37E-07	0.00E+00	0.00E+00	2.42E-02	2.17E-02	3.16E-04	2.17E-02
3:Ins:R:0	1.65E-07	7.84E-05	2.45E-08	4.48E-08	1.28E-08	1.24E-03	0.00E+00	8.22E-08	1.36E-03	6.57E-04	5.91E-04	0.00E+00	3.15E-07	1.52E-08	2.82E-07	6.79E-04	1.65E-03	1.37E-03	2.82E-07
3:Ins:R:1	1.87E-04	0.00E+00	0.00E+00	5.47E-03	1.03E-06	6.95E-04	5.93E-08	2.96E-02	2.04E-03	1.04E-03	8.90E-03	1.52E-02	0.00E+00	0.00E+00	2.61E-08	1.39E-03	4.56E-03	9.54E-04	1.65E-02
3:Ins:R:2	0.00E+00	2.76E-08	3.67E-08	2.36E-07	1.52E-04	1.95E-04	4.50E-08	1.49E-06	3.01E-04	2.70E-04	2.83E-08	6.95E-04	5.86E-04	5.17E-08	4.02E-07	2.36E-04	5.23E-04	1.18E-04	2.08E-07
3:Ins:R:3	8.53E-05	4.62E-08	1.08E-02	1.51E-07	1.57E-02	9.73E-08	2.20E-08	3.51E-02	6.49E-04	7.76E-08	3.39E-07	1.29E-06	3.39E-02	4.64E-07	4.53E-04	2.52E-07	4.51E-02	8.85E-07	1.05E-05
3:Ins:R:4	4.47E-08	4.40E-08	1.81E-07	3.15E-08	2.92E-08	8.15E-05	2.48E-04	1.33E-07	9.33E-04	1.93E-06	3.04E-04	1.71E-04	4.97E-04	6.41E-08	6.94E-08	2.88E-08	1.03E-07	6.36E-04	9.02E-08
3:Ins:R:5	1.06E-03	1.42E-04	0.00E+00	7.81E-08	0.00E+00	0.00E+00	2.21E-08	8.16E-05	4.31E-04	1.19E-04	0.00E+00	3.36E-07	4.72E-05	8.80E-04	2.52E-04	9.00E-04	2.79E-03	1.36E-03	8.70E-04
4:Ins:R:0	2.81E-08	2.40E-08	4.10E-08	1.72E-07	2.62E-08	3.29E-07	2.48E-08	1.02E-07	1.86E-04	2.09E-04	1.22E-07	6.13E-08	6.82E-04	2.27E-04	6.31E-05	2.12E-04	4.76E-04	5.97E-07	1.61E-08
4:Ins:R:1	3.30E-05	3.73E-04	1.31E-08	5.65E-04	0.00E+00	8.11E-05	3.73E-04	1.13E-03	3.48E-03	1.05E-04	9.76E-08	2.02E-03	3.75E-04	1.42E-07	1.02E-04	1.03E-03	1.20E-07	4.19E-03	3.09E-03
4:Ins:R:2	7.25E-05	3.66E-08	6.57E-08	5.55E-08	7.20E-08	6.08E-04	4.49E-08	2.19E-07	1.43E-07	1.45E-07	1.76E-04	6.74E-08	2.69E-07	1.16E-07	1.98E-07	1.72E-04	2.95E-04	8.82E-08	2.59E-05
