Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V67	3.13E+01	1.37E+00	1.83E+00	2.52E+00	4.00E-01	0.00E+00	4.00E-01	3.28E+00	3.25E+01	6.00E-01	3.05E+00
V68	3.05E+01	2.24E-01	2.06E+00	2.84E+00	1.88E+00	3.46E+00	3.21E+00	8.97E-01	3.24E+01	3.61E+00	1.54E+00
V69	1.55E+00	2.74E+00	2.49E-01	1.36E+00	2.25E+00	1.00E-01	1.92E+00	3.02E+00	5.00E-01	8.60E-01	2.31E+00
V70	4.07E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	4.76E-01	2.00E-01	0.00E+00	0.00E+00	3.65E-01	1.00E-01
V71	2.00E+00	5.54E-01	3.51E+00	8.57E-01	1.65E+00	9.24E-01	2.13E-01	5.17E-01	2.32E+00	8.67E-01	3.27E+00
V72	2.77E-01	5.58E+00	1.18E+01	3.71E+00	3.07E-01	0.00E+00	2.00E-01	9.81E+00	1.00E-01	0.00E+00	8.19E+00
V73	1.68E+01	1.26E+00	3.28E+00	3.82E+00	2.70E+00	1.24E+00	1.26E+00	4.05E+00	1.82E+01	2.08E+00	1.19E+00
V74	7.67E-01	1.04E+00	3.28E+00	4.01E-01	1.11E+00	3.84E+00	3.49E+00	2.74E+00	1.44E+00	1.24E+00	2.70E+00
V75	2.55E+00	7.46E-01	9.87E-01	1.03E+00	0.00E+00	0.00E+00	0.00E+00	7.72E-01	2.28E+00	3.42E-01	6.05E-01
V76	2.00E+00	1.02E+01	0.00E+00	8.18E+00	2.00E-01	0.00E+00	1.80E+00	1.30E+01	2.04E+00	9.92E-01	7.86E+00
V77	1.56E+00	2.85E+00	1.35E+00	0.00E+00	1.54E+00	0.00E+00	0.00E+00	3.66E+00	5.00E-01	1.91E+00	1.41E+00
V78	2.20E+00	1.42E+00	2.97E+00	2.59E+00	2.06E+00	2.36E+00	2.72E+00	2.32E+00	2.23E+00	1.93E+00	2.06E+00
V79	3.18E+00	1.32E+01	0.00E+00	3.02E+00	5.34E+00	2.37E+00	1.58E+00	1.47E+01	3.67E+00	2.85E+00	4.68E+00
