MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Ins:T:2	1.76E-04	1.46E-04	9.31E-08	2.51E-04	2.05E-08	9.89E-04	7.02E-04	6.22E-04	1.76E-03	1.91E-03
1:Ins:T:3	1.74E-04	1.94E-09	5.14E-04	2.57E-04	1.10E-04	1.59E-04	2.25E-03	1.59E-03	4.41E-03	3.22E-03
1:Ins:T:4	0.00E+00	6.44E-04	1.30E-03	4.44E-04	4.33E-04	0.00E+00	1.09E-04	3.35E-04	4.42E-03	5.27E-03
1:Ins:T:5	5.27E-04	1.06E-07	6.50E-03	3.26E-06	1.87E-07	6.78E-04	4.97E-03	3.14E-07	2.16E-02	8.58E-03
2:Del:R:0	0.00E+00	3.26E-04	0.00E+00	3.30E-03	4.95E-04	3.06E-03	6.28E-04	6.48E-03	3.25E-03	4.99E-03
2:Del:R:1	2.62E-04	7.34E-04	1.17E-04	1.29E-03	9.93E-04	1.98E-03	3.04E-03	5.20E-03	4.06E-03	1.84E-03
2:Del:R:2	1.04E-03	2.30E-04	1.73E-04	1.77E-04	1.98E-04	2.21E-04	6.54E-04	1.22E-03	1.90E-03	1.57E-03
2:Del:R:3	8.16E-09	2.74E-04	3.58E-04	3.05E-04	7.31E-08	3.05E-08	3.20E-04	1.70E-08	9.54E-04	9.38E-04
2:Del:R:4	8.00E-09	1.94E-04	1.66E-08	2.62E-08	2.45E-08	1.23E-04	2.80E-08	7.75E-08	2.11E-04	4.71E-04
2:Del:R:5	5.90E-05	1.28E-07	6.05E-08	1.99E-08	6.64E-08	1.64E-04	2.20E-04	1.42E-07	3.37E-04	5.99E-08
3:Del:R:0	2.82E-04	1.76E-04	0.00E+00	4.95E-04	1.19E-07	1.47E-03	2.27E-03	1.36E-03	2.16E-03	2.08E-03
3:Del:R:1	5.79E-05	4.58E-04	5.45E-04	1.02E-03	1.38E-04	6.29E-04	1.01E-03	1.28E-03	2.07E-03	3.24E-03
3:Del:R:2	1.79E-08	2.12E-04	7.62E-08	3.40E-04	5.61E-08	2.46E-04	1.29E-08	2.91E-04	1.65E-04	2.97E-03
3:Del:R:3	1.08E-08	6.62E-05	8.40E-08	3.18E-04	9.86E-08	1.15E-04	3.64E-08	3.31E-04	9.76E-04	4.51E-05
3:Del:R:4	7.40E-09	1.29E-08	1.27E-08	2.29E-08	1.63E-08	5.67E-08	8.30E-08	1.16E-07	1.02E-07	1.11E-07
3:Del:R:5	7.40E-09	1.29E-08	1.27E-08	2.29E-08	1.63E-08	5.67E-08	8.30E-08	1.16E-07	1.02E-07	1.11E-07
4:Del:R:0	1.24E-03	0.00E+00	2.09E-04	7.26E-04	2.02E-04	2.25E-03	1.49E-03	1.10E-03	3.82E-03	7.27E-04
4:Del:R:1	1.13E-04	2.63E-04	3.37E-04	8.39E-04	0.00E+00	5.98E-04	1.16E-03	1.21E-03	1.03E-03	1.74E-03
4:Del:R:2	9.40E-05	1.10E-08	2.72E-08	1.04E-04	1.33E-07	1.44E-04	5.44E-05	1.89E-07	5.39E-05	2.53E-04
4:Del:R:3	5.55E-07	1.26E-08	5.51E-05	5.99E-09	2.27E-03	1.15E-07	0.00E+00	1.34E-03	2.64E-08	3.34E-05
4:Del:R:4	7.40E-09	1.29E-08	1.27E-08	2.29E-08	1.63E-08	5.67E-08	8.30E-08	1.16E-07	1.02E-07	1.11E-07
4:Del:R:5	1.17E-04	1.76E-04	0.00E+00	1.86E-07	0.00E+00	2.23E-04	8.15E-05	7.58E-08	0.00E+00	3.30E-04
5:Del:R:0	6.55E-08	5.81E-08	2.89E-08	2.76E-06	6.66E-06	2.63E-02	2.51E-02	5.13E-03	2.68E-02	3.23E-06
