MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
2:Ins:R:0	5.57E-08	5.28E-08	0.00E+00	5.32E-08	6.17E-04	9.77E-04	2.19E-03	1.10E-06	3.18E-03	2.08E-03	3.21E-03	4.73E-04	9.01E-04	4.91E-04	5.82E-03
2:Ins:R:1	1.91E-08	1.76E-08	1.37E-04	4.44E-05	1.12E-03	4.05E-04	1.22E-03	5.42E-04	0.00E+00	4.66E-04	1.98E-03	1.03E-03	2.11E-04	1.64E-03	1.40E-03
2:Ins:R:2	1.74E-08	1.29E-04	2.85E-04	2.39E-04	3.66E-04	2.33E-04	2.37E-03	1.36E-04	9.70E-08	3.62E-04	2.96E-04	8.10E-04	2.12E-04	1.95E-03	4.13E-04
2:Ins:R:3	9.62E-05	3.34E-08	1.17E-04	1.25E-04	1.67E-06	1.34E-04	1.09E-03	4.16E-08	8.50E-04	1.05E-04	3.62E-03	6.56E-08	1.05E-03	2.62E-03	2.70E-03
2:Ins:R:4	9.46E-05	1.48E-02	9.46E-04	1.32E-07	0.00E+00	7.87E-06	3.10E-03	1.31E-04	7.67E-02	1.82E-03	0.00E+00	4.55E-04	6.46E-03	2.28E-02	1.22E-03
2:Ins:R:5	2.69E-03	7.73E-09	2.80E-03	1.53E-04	2.19E-06	5.59E-04	2.24E-04	3.84E-04	7.12E-03	8.21E-04	2.02E-03	5.23E-02	4.33E-04	1.17E-02	1.69E-02
3:Ins:R:0	1.27E-07	1.65E-03	2.57E-04	5.39E-02	2.00E-07	3.33E-08	1.32E-05	1.12E-07	1.07E-01	1.87E-07	2.10E-02	3.39E-02	3.17E-05	2.93E-02	6.73E-07
3:Ins:R:1	2.40E-08	3.16E-04	2.54E-07	6.26E-08	1.14E-03	2.90E-04	5.50E-04	4.47E-04	8.53E-04	5.30E-04	2.45E-04	8.58E-04	5.21E-07	9.92E-04	2.42E-03
3:Ins:R:2	5.16E-08	2.87E-08	3.71E-08	9.09E-08	7.39E-08	1.72E-04	1.05E-07	8.10E-05	1.52E-07	1.22E-07	1.78E-07	5.36E-07	3.95E-07	1.42E-04	2.12E-04
3:Ins:R:3	8.90E-05	2.43E-08	6.55E-08	5.88E-08	3.99E-07	1.12E-07	1.42E-07	2.29E-06	1.62E-07	1.03E-04	3.03E-04	4.37E-04	3.81E-07	9.69E-08	5.20E-04
3:Ins:R:4	3.37E-08	5.01E-08	3.12E-08	6.37E-08	1.71E-07	1.08E-04	7.31E-04	5.19E-05	4.03E-07	9.62E-08	8.08E-05	1.57E-07	3.13E-04	2.18E-07	7.30E-07
3:Ins:R:5	1.74E-04	0.00E+00	2.89E-04	8.50E-05	1.52E-08	7.33E-05	6.10E-04	9.93E-08	1.00E-07	1.55E-03	1.79E-03	8.23E-03	5.89E-03	1.01E-03	1.96E-03
