MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
3:Ins:R:1	7.61E-07	2.59E-08	1.74E-04	0.00E+00	3.52E-04	1.05E-08	1.15E-03	8.30E-06	3.00E-03	0.00E+00	3.63E-04	1.63E-03	9.37E-04	2.31E-03	6.19E-04
3:Ins:R:2	5.00E-08	2.88E-04	2.70E-08	4.28E-08	1.07E-06	5.57E-08	0.00E+00	4.18E-07	1.34E-07	1.65E-07	5.56E-08	6.85E-08	8.22E-08	3.00E-04	4.79E-04
3:Ins:R:3	2.12E-05	5.86E-05	3.87E-08	1.26E-07	2.55E-04	5.50E-08	2.10E-08	2.38E-07	1.22E-07	1.25E-07	1.23E-04	1.88E-04	1.65E-07	4.06E-07	1.09E-04
3:Ins:R:4	4.02E-08	4.17E-08	2.98E-08	3.83E-08	4.81E-08	5.36E-08	2.49E-04	1.27E-04	9.35E-08	8.45E-05	8.03E-08	3.58E-07	7.87E-08	6.39E-08	1.73E-06
3:Ins:R:5	2.66E-04	2.90E-04	3.72E-04	5.72E-05	1.69E-06	9.05E-08	0.00E+00	5.38E-09	1.38E-03	0.00E+00	2.19E-03	2.38E-03	1.46E-07	5.31E-03	4.94E-03
4:Ins:R:0	2.62E-06	1.55E-04	2.16E-04	0.00E+00	6.84E-07	1.79E-08	3.71E-04	1.25E-04	3.08E-07	6.21E-04	1.48E-08	2.96E-04	8.97E-04	1.89E-08	3.40E-04
4:Ins:R:1	5.79E-08	1.34E-04	2.01E-04	0.00E+00	6.04E-09	3.64E-04	9.33E-05	1.47E-03	2.06E-03	2.98E-04	1.02E-08	9.37E-05	1.13E-03	1.40E-46	2.56E-08
4:Ins:R:2	1.64E-04	3.95E-04	2.64E-03	0.00E+00	1.40E-46	3.12E-08	0.00E+00	1.43E-08	2.67E-02	5.22E-07	5.07E-03	1.95E-03	2.53E-07	0.00E+00	7.11E-04
4:Ins:R:3	2.11E-08	1.90E-08	3.67E-08	5.59E-08	4.71E-08	2.77E-08	9.65E-09	9.37E-08	7.76E-08	7.27E-08	4.10E-08	5.56E-08	1.80E-07	1.19E-07	9.73E-08
4:Ins:R:4	7.10E-08	2.95E-04	1.14E-08	8.98E-08	1.91E-07	1.18E-07	0.00E+00	1.73E-07	3.82E-07	1.45E-07	1.67E-04	1.73E-04	6.37E-08	1.19E-03	2.18E-04
4:Ins:R:5	1.89E-08	3.91E-04	5.72E-04	1.95E-08	2.21E-04	1.55E-08	3.63E-04	1.27E-04	0.00E+00	0.00E+00	1.43E-03	2.65E-08	2.10E-08	0.00E+00	4.12E-04
5:Ins:R:0	5.00E-08	2.74E-07	1.43E-04	1.92E-08	2.50E-08	2.82E-07	0.00E+00	9.62E-05	1.81E-04	5.07E-04	3.66E-08	3.59E-08	7.05E-04	1.30E-04	1.38E-08
5:Ins:R:1	4.85E-04	2.75E-04	2.15E-04	0.00E+00	1.08E-03	2.93E-04	1.14E-03	4.42E-03	7.02E-04	3.71E-03	3.89E-04	1.77E-03	4.35E-03	2.87E-03	1.93E-03
