MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
5:Ins:R:3	6.48E-08	1.12E-07	2.41E-08	2.89E-05	1.72E-07	6.57E-08	2.68E-04	1.47E-07	1.02E-04	2.72E-04	4.25E-08	2.38E-04	2.78E-04	3.10E-04
5:Ins:R:4	8.74E-08	3.40E-05	4.46E-08	1.30E-04	3.81E-08	7.79E-08	8.62E-08	2.73E-07	2.26E-07	8.27E-05	9.82E-08	5.81E-07	9.07E-08	1.45E-07
5:Ins:R:5	5.49E-08	5.55E-08	3.88E-08	5.08E-08	2.33E-05	9.49E-05	8.00E-05	7.16E-06	3.09E-07	6.16E-04	1.00E-07	1.04E-07	9.04E-08	4.49E-07
2:Del:M:1	2.83E-04	5.72E-04	0.00E+00	1.14E-03	1.28E-03	2.21E-03	4.66E-03	1.25E-04	6.24E-03	1.45E-03	4.69E-03	8.25E-04	0.00E+00	3.81E-03
3:Del:M:1	2.19E-08	0.00E+00	2.51E-08	3.88E-08	1.61E-03	8.26E-04	2.43E-03	3.62E-04	2.99E-03	3.19E-03	3.24E-03	3.50E-03	3.01E-03	1.59E-06
3:Del:M:2	0.00E+00	7.07E-04	1.90E-04	2.04E-03	6.10E-08	1.26E-03	1.39E-03	2.60E-03	1.55E-02	2.12E-03	3.91E-03	1.76E-02	1.23E-02	1.34E-04
4:Del:M:1	0.00E+00	3.62E-04	6.72E-04	5.12E-04	1.65E-07	4.15E-04	1.55E-03	5.71E-04	1.84E-03	3.43E-03	2.72E-03	6.67E-03	1.16E-03	1.51E-03
4:Del:M:2	2.84E-07	1.10E-04	8.09E-09	3.21E-05	6.85E-04	1.91E-03	3.13E-03	7.78E-09	1.40E-03	5.99E-04	1.48E-03	9.24E-04	1.01E-04	7.02E-04
4:Del:M:3	1.54E-03	2.09E-04	1.37E-04	1.09E-04	3.03E-04	7.00E-04	2.44E-04	5.63E-05	1.63E-03	2.91E-04	6.56E-04	7.44E-04	8.25E-05	3.35E-08
5:Del:M:1	5.21E-06	1.67E-08	2.14E-08	5.22E-08	7.76E-04	5.91E-04	3.95E-02	2.43E-07	1.40E-46	4.19E-02	4.27E-02	1.18E-03	1.00E-02	4.42E-02
5:Del:M:2	3.50E-08	5.19E-04	5.10E-08	6.34E-04	1.00E-03	7.75E-08	2.14E-02	2.91E-04	3.65E-03	3.12E-02	2.75E-02	7.48E-07	4.36E-03	1.29E-02
5:Del:M:3	2.03E-04	3.62E-08	1.35E-08	3.15E-04	6.23E-04	9.41E-05	1.74E-02	2.13E-07	1.51E-07	9.82E-03	1.45E-02	5.64E-05	1.41E-07	1.22E-02
5:Del:M:4	8.17E-05	2.08E-04	1.05E-04	9.43E-08	1.52E-03	4.79E-46	3.53E-03	1.60E-04	4.65E-03	3.28E-03	4.60E-03	1.65E-03	6.13E-04	5.24E-04
5:Del:M:5	5.43E-05	3.57E-04	1.56E-04	4.04E-04	0.00E+00	3.49E-05	2.44E-03	7.24E-04	0.00E+00	2.53E-03	3.18E-03	1.73E-03	2.57E-03	5.37E-03
