Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
2.CompNMF,0.7180912751677853,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7207751677852349,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7234590604026845,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7261429530201342,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7288268456375839,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7315107382550335,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7341946308724832,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7368785234899329,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7395624161073826,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7422463087248322,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7449302013422818,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7476140939597316,0.965897435897436,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7502979865771812,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7529818791946309,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7556657718120805,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7583496644295302,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7610335570469798,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7637174496644294,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7664013422818792,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7690852348993289,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7717691275167785,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7744530201342281,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
