Method,Simulation,K,rmse_Lambda,rmse_Counts,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,Sensitivity,Precision,cos_sim,time,ESS_Sig_mean,ESS_Sig_sd,ESS_Theta_mean,ESS_Theta_sd,ESS_relweight_mean,ESS_relweight_sd,J,theta,K_new,overd
5.ARD,18,10,1.523967121398932,2.793128332670683,0.001798359520159024,0.0031240057925899867,0.0024611826563745052,2.524889814277669,26.507207912109326,14.516048863193497,1,1,0.9914221528268572,19.082032203674316,NA,NA,NA,NA,NA,NA,200,100,6,0
5.ARD,19,10,1.4481166706601427,2.8658813188688543,0.0014601184008022296,0.003261515178084424,0.0023608167894433266,2.399437143427553,22.252737725332732,12.326087434380142,1,1,0.9932711444228755,21.602635145187378,NA,NA,NA,NA,NA,NA,200,100,6,0
5.ARD,20,10,1.471521058931651,2.795331435499418,0.0015465035385575463,0.0029219000958796496,0.002234201817218598,3.7225167773274634,24.703158146393033,14.212837461860248,1,1,0.9922964686480924,22.05748724937439,NA,NA,NA,NA,NA,NA,200,100,6,0
3.signeR,1,10,1.4577934932492234,2.892699470281443,0.0016088041064171933,0.0032175932530229575,0.0024131986797200754,1.28119673827787,25.588214043101168,13.434705390689519,1,1,0.9900785178876208,2103.0081210136414,66.87299233569848,12.68543067801182,226.0367140354652,103.81471348731833,NA,NA,200,100,6,0
3.signeR,2,10,1.6245166133823359,3.090622088028291,0.0021368222096414683,0.0021463059119811285,0.002141564060811298,2.4436478489753664,28.652129420564865,15.547888634770116,1,1,0.9920977962530539,2101.57244348526,63.175575226775294,8.80852443204014,208.14878801648462,128.16070735772212,NA,NA,200,100,6,0
3.signeR,3,10,1.4640535398994987,2.8414210602261387,0.001692852817144874,0.002779350785421341,0.0022361018012831075,2.0722088610517098,23.31451088574174,12.693359873396725,1,1,0.9918844998792339,2030.424411535263,66.70281479199981,16.28783594370054,188.12720081532763,102.1710737024453,NA,NA,200,100,6,0
3.signeR,4,10,1.5065934483131396,2.852082089571582,0.0020414527887745054,0.0026659106385299525,0.002353681713652229,3.579778251424982,27.640797834786596,15.61028804310579,1,1,0.9908608360496198,2091.3168880939484,64.57145237693935,9.540334947662652,186.7421753044968,104.47221162402565,NA,NA,200,100,6,0
3.signeR,5,10,1.526376707769951,2.771050489049611,0.0016785112596654828,0.0024418067970092263,0.002060159028337355,1.6167900074772574,21.89338958082614,11.755089794151697,1,1,0.991875811010297,2078.776199579239,67.3707954250911,11.074099712443884,248.09686522887276,146.6298200556377,NA,NA,200,100,6,0
3.signeR,6,10,1.4737634246206515,2.8256703315884373,0.002124419503572357,0.0030034768277965016,0.0025639481656844296,2.4781676966150323,27.247130642648287,14.86264916963166,1,1,0.9881605756046118,2039.4524655342102,67.233988965468,14.741461756943604,196.59993330779363,106.75594873820432,NA,NA,200,100,6,0
3.signeR,7,9,1.6413715898769667,3.0147837246890132,0.0017904161891253761,0.004498147831214575,0.0031442820101699755,6.624042670830278,35.43276408151075,21.028403376170512,0.9,1,NA,1897.443143606186,70.79128995578901,13.202749057238277,252.13843628343187,112.80099677384347,NA,NA,200,100,6,0
3.signeR,8,10,1.4975657024391162,2.895432202673195,0.0019143904218270039,0.0023201027650132933,0.0021172465934201487,2.3877454917791225,26.675653587924156,14.531699539851639,1,1,0.9923217179760682,2093.8384845256805,60.08366083777753,9.796523527704467,218.15826662635246,122.39123263477788,NA,NA,200,100,6,0
3.signeR,9,10,1.5225395344544477,2.988293248987263,0.00217129712436063,0.002629706368164678,0.002400501746262654,2.352887246815133,25.784801574470585,14.068844410642859,1,1,0.9906066215943969,1910.164758682251,63.982395593469015,15.199049502702913,197.66277394325763,119.78118843113901,NA,NA,200,100,6,0
