MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
2:Del:M:1	8.29E-04	2.86E-04	2.65E-31	0.00E+00	6.79E-04	5.53E-03	2.44E-03	2.51E-03	9.60E-04	9.93E-03	1.53E-03
3:Del:M:1	1.68E-04	7.02E-05	1.33E-04	0.00E+00	5.33E-04	4.46E-03	1.82E-03	1.70E-03	3.80E-03	5.15E-03	5.45E-04
3:Del:M:2	0.00E+00	2.15E-04	9.83E-04	0.00E+00	5.79E-04	1.61E-03	1.26E-03	9.45E-04	1.66E-03	2.83E-03	1.62E-03
4:Del:M:1	4.80E-04	0.00E+00	2.90E-04	6.41E-05	6.74E-04	2.18E-03	1.16E-03	1.10E-03	6.75E-05	5.18E-03	1.48E-03
4:Del:M:2	1.91E-04	1.41E-04	3.61E-08	0.00E+00	1.12E-03	1.32E-03	3.16E-07	1.02E-03	1.04E-03	4.10E-04	6.24E-04
4:Del:M:3	3.18E-08	6.88E-09	7.59E-05	5.91E-05	6.88E-04	1.01E-03	2.50E-04	2.93E-04	4.13E-04	1.58E-03	3.70E-04
5:Del:M:1	1.91E-07	6.78E-08	7.60E-08	2.54E-04	1.02E-03	7.90E-02	4.92E-02	8.20E-08	5.54E-03	2.82E-02	7.77E-04
5:Del:M:2	6.87E-04	3.02E-04	1.83E-04	2.43E-04	0.00E+00	3.23E-02	1.82E-02	7.30E-04	1.15E-03	3.31E-02	6.24E-03
5:Del:M:3	2.43E-05	7.69E-05	4.36E-04	1.08E-04	4.05E-04	5.60E-03	4.20E-03	1.27E-03	1.11E-03	7.04E-03	6.45E-03
5:Del:M:4	1.82E-04	0.00E+00	3.97E-04	2.61E-05	1.73E-04	3.43E-03	2.40E-03	2.30E-04	6.82E-04	5.05E-03	1.02E-07
5:Del:M:5	5.96E-06	3.89E-04	7.57E-04	3.64E-05	0.00E+00	2.15E-03	1.91E-03	8.06E-05	0.00E+00	5.62E-03	2.10E-03
