Samples	ID83A	ID83B	ID83C	ID83D	ID83E
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	108	381	157	15	72
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	112	340	232	38	31
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	8	45	85	406	3
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	676	431	365	56	259
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	350	557	295	26	117
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	180	143	324	31	35
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	24	42	87	20	14
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	18	139	113	8	30
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	78	252	157	32	18
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	75	159	195	24	3
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	147	303	152	17	49
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	3	49	171	86	21
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	378	302	277	49	63
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	136	180	133	26	30
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	92	224	143	8	35
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	46	81	133	14	5
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	40	49	137	1	27
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	34	128	40	1	13
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	26	149	132	1909	26
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	93	322	198	13	15
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	43777	2625	0	0	1735
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	54	97	71	11	22
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	45	304	157	27	35
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	91	134	140	24	30
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	28	30	52	0	11
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	144	346	127	19	45
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	173	286	132	10	22
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	88	104	221	40	27
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	100	332	180	447	18
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	398	620	234	22	46
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	20	9	174	46	20
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	10	136	104	33	15
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	89	209	172	31	16
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	56	116	159	9	15
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	55	148	160	6	37
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	78	185	275	7	18
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	61	108	158	27	18
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	68	135	210	33	38
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	117	162	178	38	44
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	104	488	126	25	64
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	51	88	98	18	12
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	117	914	211	30	60
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	77	210	162	27	19
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	93	485	117	24	97
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	44	181	126	6	25
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	159	235	152	1	25
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	211	101	266	13	21
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	173	453	164	17	48
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	55	165	148	14	21
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	33	214	129	1048	10
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	129	323	195	28	35
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	137	223	245	64	37
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	51	69	84	98	9
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	170	156	109	15	36
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	61	192	124	17	42
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	169	123	145	5	51
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	244	194	175	37	19
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	306	232	171	9	28
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	100	198	173	6	25
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	93	201	144	9	20
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	39	152	135	46	3
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	164	110	144	31	53
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	49	91	177	28	20
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	181	379	251	147	81
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	239	234	156	31	43
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	146	165	193	42	31
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	56	104	139	5	25
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	40	85	124	6	15
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	177	149	135	785	9
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	118	248	143	17	73
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	59	153	103	23	16
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	63	182	173	11	24
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	74	293	178	16	31
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	179	136	101	15	35
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	24	101	85	36	14
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	0	28	38	0	6
fdbd0277.ddbf.4cc5.8ec3.3644b9553627..Panc.AdenoCA..DO35406	93	133	134	18	19
fe96d91c.3686.4125.af71.b8703a011ad4..Panc.AdenoCA..DO49463	92	905	133	29	95
ffe4bb51.e98a.41a7.a4e1.c3970386889c..Panc.AdenoCA..DO51503	56	65	139	14	9
