Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	87	225	224	23	19	138	53	27
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	155	126	0	4	16	56	58	38
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	0	0	16
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	53	292	65	0	34	52	61	35
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	222	0	0	498	51	20	333	58
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	73	176	40	5	18	81	104	5
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	91	257	103	12	43	68	75	60
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	190	224	0	15	51	138	36	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	0	211	128	18	19	72	37	1
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	73	86	114	16	8	65	42	1
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	120	390	252	990	14	50	78	2
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	115	63	16	34	29	183	51	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	40	140	86	4	2	24	79	11
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	303	577	158	841	106	5	130	0
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6257	0	798	0	287	409	0	0
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	19	78	16	68	21	0	344	53
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	65	202	0	654	63	0	534	16
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	50	348	0	49	18	188	89	0
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	0	94	109	29	22	25	54	44
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	0	17	26	5	0	35	7	4
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	113	313	273	31	13	34	63	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	56	383	220	64	75	143	156	25
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	118	186	0	24	35	135	26	3
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	17	171	95	7	34	57	45	0
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	36	222	26	12	17	59	74	20
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	25	246	179	26	30	40	91	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	86	215	0	28	51	68	49	33
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	70	172	0	7	18	92	39	3
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	38	163	167	6	26	7	67	5
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	0	125	64	14	3	127	77	10
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	350	227	115	22	42	37	71	58
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	0	62	119	8	7	31	28	3
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	37	233	69	14	16	47	79	8
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	185	281	72	15	43	41	66	10
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	42	229	27	15	62	23	64	44
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	0	250	235	27	19	21	47	9
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	31	43	0	51	2	0	252	0
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	170	613	537	36	35	23	0	52
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	48	149	152	9	35	43	48	11
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	83	171	0	5	38	73	56	7
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	207	93	155	9	24	62	70	14
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	223	381	0	11	63	118	45	9
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	305	403	0	57	114	434	53	68
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	29	99	25	11	13	111	34	0
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	88	237	100	42	67	76	127	7
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	44	127	20	13	18	35	51	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	0	46	68	22	29	61	66	6
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	43	140	58	13	18	27	63	50
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	24	214	24	3	55	104	53	3
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	125	370	99	23	50	113	41	1
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8260	9144	0	1172	2798	401	0	259
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	245	0	0	5224	0	0	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	27	119	43	13	30	32	42	5
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	85	69	145	29	9	53	46	39
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	914	245	62	1121	42	0	97	17
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	40	228	97	28	23	66	81	6
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	96	234	0	734	39	72	208	42
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	170	153	0	9	19	95	59	10
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	5	20	0	1	3	17	57	26
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	0	103	80	8	31	0	72	1
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	156	150	120	9	39	69	81	0
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	74	235	0	22	47	60	83	17
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	9	58	102	5	0	35	55	2
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	121	221	91	1074	47	35	170	9
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	121	37	151	1106	2	199	256	47
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	212	231	74	67	33	42	434	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	62	0	0	320	212	48	23	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	17	113	153	21	14	25	47	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	54	189	150	53	26	10	53	4
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	0	110	153	17	27	28	56	14
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	12	394	202	12	25	9	63	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	47	140	20	11	28	54	38	50
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	165	216	0	16	29	81	55	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	12	165	153	17	14	56	33	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	80	163	0	13	33	92	19	35
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	57	140	146	13	10	35	88	9
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	0	10	44	5	19	16	38	1
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	99	276	115	24	33	84	40	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	47	231	155	9	5	0	78	0
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	24	226	65	22	37	46	130	37
