Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	25	72	208	10	77	7	0	17	29
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	170	157	89	12	67	56	20	23	10
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	104	179	180	25	145	21	96	22	24
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	147	79	130	5	0	14	17	31	30
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	0	1	0	15
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	65	269	93	0	25	34	39	36	31
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	220	37	0	470	0	48	70	285	52
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	81	104	206	6	0	17	25	61	2
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	99	284	0	10	74	43	86	55	58
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	147	228	0	15	89	49	102	24	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	0	224	9	18	115	20	77	22	1
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	111	28	194	17	0	9	29	17	0
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	209	298	329	957	0	15	0	88	0
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	113	0	196	34	0	29	90	29	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	26	107	82	5	99	2	9	49	7
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	363	590	95	808	0	103	9	148	4
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6523	393	0	0	0	312	503	0	20
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	0	53	102	62	49	18	0	261	54
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	66	250	0	608	0	57	0	515	38
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	49	323	121	45	0	16	118	70	0
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	0	61	94	30	87	23	9	32	41
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	0	0	50	6	19	0	13	2	4
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	149	295	128	30	152	15	33	38	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	133	274	382	64	0	77	79	92	21
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	118	205	10	22	0	34	115	22	1
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	0	166	21	7	121	35	47	29	0
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	13	225	0	10	77	16	51	56	18
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	87	158	284	27	0	32	0	49	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	80	152	157	28	0	49	7	30	27
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	68	150	77	7	0	17	59	23	0
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	80	112	173	7	41	28	0	35	3
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	0	62	181	16	44	3	64	42	8
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	349	189	140	22	82	40	14	39	47
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	0	68	7	8	106	9	39	18	3
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	29	246	0	12	79	16	54	59	8
