MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
2:Ins:R:4	2.16E-04	9.45E-05	4.82E-04	9.65E-05	2.87E-04	7.95E-04	0.00E+00	1.18E-06	0.00E+00	2.42E-03	2.56E-05	2.87E-03	1.62E-04	1.39E-03
2:Ins:R:5	2.91E-03	9.54E-04	2.06E-03	6.01E-04	0.00E+00	3.55E-04	5.87E-04	1.30E-03	4.18E-04	7.82E-03	1.46E-02	7.79E-03	3.67E-03	1.36E-02
3:Ins:R:0	3.60E-08	6.16E-08	1.69E-04	3.21E-08	3.05E-08	3.50E-07	6.38E-08	8.20E-08	4.69E-08	8.46E-05	1.07E-07	1.18E-04	1.14E-07	4.70E-04
3:Ins:R:1	2.53E-04	4.22E-05	2.80E-04	5.37E-05	4.44E-05	2.72E-04	1.69E-04	2.58E-05	8.82E-08	1.13E-03	1.72E-03	5.19E-04	5.15E-04	2.13E-03
3:Ins:R:2	6.95E-08	6.51E-04	9.47E-08	2.85E-02	3.10E-04	4.00E-03	1.16E-08	1.97E-03	1.70E-02	9.19E-04	1.05E-01	5.83E-08	3.58E-04	4.66E-03
3:Ins:R:3	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
3:Ins:R:4	4.13E-04	4.94E-08	6.56E-05	4.47E-08	2.36E-06	2.08E-07	1.45E-08	9.01E-08	1.18E-07	1.25E-07	3.69E-04	2.60E-04	3.89E-08	1.69E-04
3:Ins:R:5	2.35E-04	0.00E+00	3.32E-04	3.57E-05	0.00E+00	1.02E-08	6.48E-09	0.00E+00	3.21E-04	6.58E-08	1.18E-03	1.05E-03	3.25E-04	1.40E-03
4:Ins:R:0	1.21E-08	1.06E-07	1.30E-04	3.34E-08	8.53E-08	3.39E-04	0.00E+00	2.27E-04	1.59E-08	4.92E-05	1.27E-04	4.90E-04	2.97E-04	2.07E-05
4:Ins:R:1	3.13E-04	2.63E-04	1.71E-04	1.02E-05	1.33E-07	3.99E-04	1.40E-04	4.63E-04	0.00E+00	2.08E-08	1.17E-03	1.80E-04	2.26E-04	1.35E-04
4:Ins:R:2	3.84E-08	4.85E-08	5.12E-05	3.47E-08	5.88E-08	3.70E-08	2.18E-08	8.58E-08	4.71E-08	1.07E-07	5.85E-08	1.38E-07	6.92E-08	2.55E-04
4:Ins:R:3	3.48E-08	5.59E-08	6.27E-08	3.29E-08	3.81E-08	7.34E-05	6.82E-09	7.70E-08	5.48E-08	8.38E-08	1.12E-07	1.13E-04	8.47E-08	1.23E-07
4:Ins:R:4	7.28E-05	0.00E+00	3.38E-08	2.56E-08	1.97E-07	4.44E-04	1.39E-08	1.75E-09	6.11E-08	7.39E-04	2.96E-07	5.50E-04	4.70E-05	4.21E-04
4:Ins:R:5	1.17E-04	3.54E-04	2.98E-04	0.00E+00	2.75E-09	3.07E-04	1.56E-04	1.77E-08	0.00E+00	7.08E-05	1.17E-03	8.62E-04	2.84E-04	1.26E-03
5:Ins:R:0	2.75E-08	5.93E-08	8.55E-05	3.03E-08	2.51E-04	1.20E-04	1.76E-08	1.02E-04	4.72E-08	2.29E-08	4.99E-08	3.75E-04	3.59E-08	5.99E-08
5:Ins:R:1	2.97E-08	0.00E+00	1.11E-03	4.69E-08	2.70E-04	9.68E-04	0.00E+00	7.81E-04	0.00E+00	4.95E-03	0.00E+00	4.84E-03	1.11E-03	1.18E-03
5:Ins:R:2	3.91E-08	4.26E-08	2.39E-05	1.67E-04	3.55E-08	2.89E-07	1.80E-04	5.21E-08	2.87E-08	1.21E-04	9.01E-08	5.40E-08	3.39E-08	6.12E-08
5:Ins:R:3	2.91E-08	6.37E-08	9.85E-05	4.23E-08	4.41E-08	9.42E-08	9.06E-09	8.35E-08	5.08E-08	1.82E-04	7.84E-08	1.58E-04	1.20E-07	9.44E-05
5:Ins:R:4	8.88E-08	9.31E-08	3.70E-07	2.71E-02	1.57E-07	1.30E-06	4.92E-08	1.68E-08	3.59E-02	1.23E-06	6.48E-02	4.86E-07	7.07E-08	1.91E-02
5:Ins:R:5	3.04E-08	6.34E-08	2.30E-05	4.91E-08	2.97E-08	1.91E-04	2.33E-09	7.74E-08	1.84E-07	1.16E-04	2.29E-07	1.09E-04	1.56E-07	3.16E-05
2:Del:M:1	2.02E-04	6.22E-04	3.95E-04	0.00E+00	1.78E-03	7.00E-06	6.91E-04	4.34E-03	8.11E-04	2.56E-03	3.25E-04	1.86E-03	3.02E-03	4.95E-03
3:Del:M:1	5.64E-04	0.00E+00	6.66E-08	3.49E-07	1.07E-03	1.71E-03	0.00E+00	9.38E-04	0.00E+00	9.22E-04	6.82E-04	4.62E-03	0.00E+00	3.43E-03
3:Del:M:2	3.86E-04	3.13E-04	1.89E-03	1.77E-04	5.54E-05	6.70E-04	0.00E+00	1.07E-04	1.81E-04	1.80E-03	1.12E-03	2.82E-03	2.80E-04	5.69E-03
4:Del:M:1	0.00E+00	4.61E-09	1.27E-07	1.54E-04	2.99E-04	9.89E-04	3.69E-04	6.11E-04	2.78E-04	1.64E-03	9.16E-04	3.31E-03	1.79E-03	4.41E-04
4:Del:M:2	7.70E-08	4.08E-04	0.00E+00	2.16E-04	4.19E-04	5.62E-04	0.00E+00	2.35E-03	1.62E-08	3.12E-04	4.75E-07	8.30E-04	3.66E-03	2.18E-04
4:Del:M:3	3.66E-04	9.96E-05	0.00E+00	4.92E-05	9.65E-04	2.04E-07	0.00E+00	7.93E-04	1.79E-04	5.62E-04	1.79E-03	3.76E-03	3.90E-07	1.22E-03
5:Del:M:1	3.41E-07	1.39E-07	6.23E-08	4.44E-04	5.06E-08	3.70E-02	7.12E-04	2.35E-03	8.14E-07	4.08E-02	5.80E-07	4.59E-02	3.71E-08	2.24E-04
5:Del:M:2	6.07E-04	1.32E-07	6.27E-08	9.32E-08	6.56E-04	1.65E-02	5.56E-04	2.40E-08	2.55E-03	2.90E-02	3.82E-03	5.24E-02	4.36E-04	1.51E-03
5:Del:M:3	6.35E-05	4.34E-04	8.72E-08	2.57E-07	1.53E-04	8.99E-03	0.00E+00	6.52E-04	7.27E-05	1.00E-02	4.24E-04	2.50E-02	1.50E-03	8.05E-04
5:Del:M:4	3.09E-04	0.00E+00	4.84E-05	3.52E-05	4.46E-04	2.47E-03	0.00E+00	3.22E-04	6.55E-05	6.90E-03	1.10E-03	6.34E-03	4.96E-04	3.88E-03
5:Del:M:5	5.14E-04	1.31E-02	6.22E-08	1.74E-08	1.32E-07	2.83E-03	4.99E-02	1.82E-07	3.40E-07	1.19E-02	1.62E-02	3.25E-03	1.15E-07	5.52E-03
