K,a,alpha,epsilon,Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights
20,1,1,0.1,6,1,1,0.0027388611958817856,-1,0.0027388611958817856,-1,0.0021737344607114534,0.0021737344607114534
25,1,1,0.1,6,1,1,0.0030861911331752393,-1,0.0030861911331752393,-1,0.0022870542755212904,0.0022870542755212904
40,1,1,0.1,6,0.8333333333333334,0.8333333333333334,0.0035985239257320585,-1,0.0035985239257320585,-1,0.0029657576845788297,0.0029657576845788297
15,1,1,0.25,6,1,1,0.0034956333481797417,-1,0.0034956333481797417,-1,0.002617851139648287,0.002617851139648287
20,1,1,0.25,6,1,1,0.0031306004410308888,-1,0.0031306004410308888,-1,0.0022839547672251926,0.0022839547672251926
25,1,1,0.25,7,1,0.8571428571428571,0.004260063572556119,-1,0.004260063572556119,-1,0.004719112737501936,0.004719112737501936
40,1,1,0.25,7,0.6666666666666666,0.5714285714285714,0.0059062521916241895,-1,0.0059062521916241895,-1,0.006108430485752845,0.006108430485752845
15,1,2,0.01,6,0.8333333333333334,0.8333333333333334,0.005302855685757176,-1,0.005302855685757176,-1,0.004146526525913682,0.004146526525913682
20,1,2,0.01,6,0.6666666666666666,0.6666666666666666,0.005828488969660505,-1,0.005828488969660505,-1,0.00452169838908373,0.00452169838908373
25,1,2,0.01,6,0.8333333333333334,0.8333333333333334,0.0053386972659525515,-1,0.0053386972659525515,-1,0.004179201627942611,0.004179201627942611
40,1,2,0.01,6,0.6666666666666666,0.6666666666666666,0.0054420213980828636,-1,0.0054420213980828636,-1,0.004234933444932254,0.004234933444932254
15,1,2,0.1,6,0.6666666666666666,0.6666666666666666,0.005777379647569122,-1,0.005777379647569122,-1,0.004506166988351991,0.004506166988351991
20,1,2,0.1,6,0.6666666666666666,0.6666666666666666,0.005891966365996239,-1,0.005891966365996239,-1,0.00460522650751484,0.00460522650751484
25,1,2,0.1,6,0.6666666666666666,0.6666666666666666,0.005889859945337602,-1,0.005889859945337602,-1,0.004699659055339145,0.004699659055339145
40,1,2,0.1,6,0.6666666666666666,0.6666666666666666,0.005662331156088744,-1,0.005662331156088744,-1,0.004382706560773762,0.004382706560773762
15,1,2,0.25,6,0.6666666666666666,0.6666666666666666,0.005383733179377185,-1,0.005383733179377185,-1,0.004194438937713576,0.004194438937713576
20,1,2,0.25,6,0.6666666666666666,0.6666666666666666,0.005777983841430982,-1,0.005777983841430982,-1,0.004547276147456557,0.004547276147456557
